,german,italian,chineese,spanish,french
17,"I have been diagnosed with SCA3 and am wondering if MedlinePlus can help me with resources I may need as I navigate this disease. If not, can you help me find an organization or club that can help me?","I have been diagnosed with SCA3 and was wondering if medlineplus can help me with resources I may need on my journey through this disease, if not, can you help me find an organization or charity that can help me?",,,
19,my rectum is stretched and I need information about surgical options by mail my address is location,my rectum is distended and i need information about surgical options mailed to me my address is the location,,,my rectum is stretched and i need information by mail about surgical options. My address is the address
20,"prenatal testing for Leigh syndrome I am looking for information about prenatal testing, anamnio or chorionic villus sampling for Narp and Leigh syndrome. Thank you in advance.",prenatal tests for leigh syndrome I am looking for information on how to do prenatal tests amnio or chorionic villus sampling for narp and leigh syndrome thanks in advance,Prenatal testing for Leigh syndrome I am looking for information on doing an amniocentesis or chorionic villus sampling test to detect fetal maldevelopment (narp) and Leigh syndrome Thank you in advance,"Prenatal testing for Leigh syndrome. I am looking for information on how to perform prenatal testing, angioplasty or chorionic villus sampling for NARP and Leigh syndrome. Thank you in advance.",
21,"hello, I have a mixed diagnosis of autoimmune connective tissue disease and I would like to submit information about this disease. I also need some reputable rheumatologists recommended in Argentina or Latin America. Thank you very much.",hello i have a mixed diagnosis of autoimmune connective tissue disease and i would like to send information about this disease i also need some serious rheumatologist recommended in Argentina or Latin America by already thank you very much,"Hello, I have been diagnosed with autoimmune connective tissue disease and would like to submit information about this disease, I also need some recommendations for rheumatologists in Argentina or Latin America, thank you very much","Hello, I have a mixed diagnosis of autoimmune connective tissue disease and I would like to submit information about this disease, I also need a serious rheumatologist recommended in Argentina or Latin America, thank you very much.",
23,I had a total hip replacement of both hip joints in 1977 using the Charnley process. My left joint is completely worn out. How safe and effective is revision surgery? Can I get a cementless joint? I am 66 years old. A prompt response to my query would be very welcome.,,"I had bilateral hip replacements in 1977, my left hip is completely worn out, how safe and effective is a revision surgery, can I get a cementless joint? I am 66 years old, I would appreciate an early response to my question",I have had a total hip replacement of both my hip joints in 1977 Charnley process My left joint is fully used as it is safe and effective it is revision surgery I get a cementless joint.,"I had a total hip replacement of both my hip joints in 1977, Charnley process, my left joint is completely worn out. How safe and effective is revision surgery? Can I get a cementless joint? I am 66 years old. A quick answer to my question will be much appreciated."
24,I have noticed hair loss on the lower extremities in men. Is this poor circulation? Any advice?,"I have observed hair loss on the lower extremities in males, it is poor blood circulation, do you have any advice?","I have observed hair loss on the male limbs, is this due to poor blood circulation? Any suggestions?","I have observed hair loss on the lower extremities in men, is this poor blood circulation?",I have noticed hair loss on the lower limbs in men. Is this poor blood circulation? Any advice?
25,my five year old son has Ganglisidosis GM 1. We are looking for a drug that could help him or at least prolong his life. He has been on Miglusitat for a week. Can you help us or just send us some information? We would be very grateful.,my five year old son has gangliside gm 1 we are looking for a drug that can help him or at least prolong his life he takes miglusitat for 1 week can you help us or just send us some information we would be very grateful,"My son is five years old and has ganglioside 1, we are looking for a drug that can help him or at least prolong his life, he is on miglucital for 1 week, can you help us or just send some information, we will be very grateful",my 5 year old son has gangliosidosis gm 1 we are looking for a medicine that can help him or at least can prolong his life. he is on miglusitat for 1 week. can you help us or just send us some information? we would be very grateful.,my five year old son has GM 1 gangliside we are looking for a medicine that could help him or at least could prolong his life he is given miglusitat for 1 week can you help us or just send information we would be very grateful
26,I would like to interview someone via email to get information about generalized anxiety disorder for a newsletter project in my abnormal psychology course at the site. Thank you,I would like to interview someone via email to get information about generalized anxiety disorder for a newsletter project in my abnormal psychology course at the campus. Thank you very much,I would like to interview someone via email in order to get information about Generalized Anxiety Disorder for a newsletter project for the Abnormal Psychology course at my location. Thanks a lot,"I would like to interview someone via email to gain insight into generalized anxiety disorder for a newsletter project in my abnormal psychology class at the placement, thank you very much.",I would like to interview someone via email to get information on generalized anxiety disorder for a newsletter project in my abnormal psychology course at location thank you very much
27,need information about Folgard OS. I am in the US but that was not listed as a country selection,I need information on folgard os I am in the USA but it is not listed as a country choice,"Need information about folgard os, I am in the United States but the country is not listed as a country choice",I need information about Folgard OS I am in the US but that was not listed as a country choice,i need information on folgard os i am in the united states but it was not listed as a country choice
30,Is balsalazide a steroid? I have been taking it for almost 2 years now. Your information says it is 68 weeks. Will it harm my other organs? I took Asacol 750mg x9 each day before balsalazide. Is it safe? I can't seem to lose any weight no matter how hard I try. I work out 56 days a week for 30 minutes. Watch my diet.,"is balsalazide a steroid? I have been on it for almost 2 years now, your info says 68 weeks, will this damage my other organs. I was on asacol before balsalazide 750mg each x9 a day, is it safe? I can't lose weight no matter how hard I try, I exercise 56 days a week for 30 minutes, I watch what I eat","Is balsalazide a steroid? I have been taking it for almost 2 years and your info says I have been taking it for 68 weeks, will this cause damage to my other organs? Before taking balsalazide I was taking Axalco, 9 pills a day, 750 mg each time, is this safe? I can’t seem to lose any weight no matter how hard I try, I work out 56 days a week for 30 minutes each time and watch my diet",Is balsalazide a steroid? I have been on it for almost 2 years. Your information states I am 68 weeks along. Will this damage my other organs? I was on Asacol before taking balsalazide 750mg each x9 per day. Is this safe? I can't seem to lose weight no matter how hard I try. I work out 56 days a week for 30 minutes and watch what I eat.,"is balsalazide a steroid? I have been taking it for almost 2 years now. Your information says 68 weeks. Will it cause damage to my other organs? I was on asacol before balsalazide 750mg each x 9 a day. Is it safe? I can't seem to lose weight no matter how hard I try, I exercise 56 days a week for 30 minutes. Watch what I eat."
31,"hello, I have a few questions about autonomic dysfunction combined with arthritis. My girlfriend has arthritis and autonomic dysfunction. I'm very worried about her and want to help her. Are there any new medications to treat the autonomic dysfunction? Her autonomic dysfunction also affects her heart, lungs and blood pressure. Is this condition fatal? How long does someone live with this condition?","Hi, I have some questions about autonomic disorders combined with arthritis, my girlfriend has arthritis and autonomic disorder, I am very concerned about her and want to help her, are there any new medications out there to treat autonomic disorder? Also, does autonomic disorder affect her heart, lungs and blood pressure? Is this condition fatal? How long does a person with this condition live?",,,"Hello, I have some questions about autonomic disorders associated with arthritis. My girlfriend has arthritis and autonomic disorders. I am very worried about her and want to help her. Are there any new medications for treating autonomic disorders? Does her autonomic disorder also affect her heart, lungs, and blood pressure? Is this disease fatal? How long does someone live with this disease?"
32,I have a steel plate in my ankle from a bad leg break a long time ago and I have to bear weight. They said they will remove the plate in a year which is not long now. I am trying to find information about it. How long will I be in hospital or can it be an outpatient surgery? Will I also need crutches etc? I need to know what the procedure is like as I am very scared of going back there.,"I have a steel plate in my ankle due to a severe leg fracture, it's been a long time now and I'm bearing weight, they said they would take the plate out in a year which isn't far off, I'm trying to find information about this, how long will I have to stay in hospital or can it be a day surgery? Also, will I need crutches etc. I need to know the procedure because I'm terrified of going back there","I have a plate in my ankle because I had a serious leg fracture. It has been a long time now and I can now bear weight. They said that the plate can be removed in a year, which is not long. I am looking for information on how long I will need to stay in the hospital or if it can be a day surgery, whether I will need crutches, etc. I need to understand the surgery process because I am afraid to go back to the hospital.",,"I have a steel plate in my ankle from a badly broken leg, it's been a long time now and I'm weight bearing, they said they would remove the plate in a year which isn't far away. I'm trying to find out any information on this. How long will I be in hospital or will it be a day surgery? Will I also need crutches etc. I need to know the procedure as it terrifies me to go back"
33,"Subject: 16p1311 Gene Duplication Dear all, I am a healthcare professional and recently examined a 9 year old boy in my care population whose mother reported that he was diagnosed with 16p1311 Gene Duplication. I had never come across this before and when I looked online I couldn't find anything related. I spoke to the pediatrician who used to care for the child but unfortunately she is long term ill. Could you please give me some information about this condition with the main characteristics? Are there any behavioral, coordination, sensory difficulties, etc. that can cause this?",regarding 16p1311 gene duplication dear all I am a healthcare professional and I have recently assessed a 9 year old boy in my caseload whose mother reported that he has been diagnosed with 16p1311 gene duplication I have never come across this topic and when I searched on the internet I could not find anything coherent I have been in contact with the pediatrician who was treating that child but unfortunately she has been ill for a long time could you give me some information about this condition with the main characteristics please there are difficulties in behavioral coordination sensory etc. that can,"Dear all, regarding the 16p1311 gene duplication, I am a health professional and I recently evaluated a 9-year-old boy, his mother reported that he was diagnosed with the 16p1311 gene duplication, I have never come across this condition, and when I looked it up on the internet I could not find anything about it, I contacted the pediatrician who was previously responsible for this child, but unfortunately, she has been ill for a long time, can you provide me with some information about this disease, including the main features, and please ask if there are problems with behavioral coordination, sensory difficulties, etc.?","re 16p1311 gene duplication Dear all, I am a healthcare professional and I have recently assessed a 9 year old boy on my case list whose mother reported that she had been diagnosed with 16p1311 gene duplication. I have never come across it and when I searched on the internet I couldn’t find anything coherent. I have been in contact with the pediatrician who used to be in charge of that child but unfortunately she is ill long term. Could you please provide me with some information about this condition with the key features? Are there any coordination, sensory etc difficulties that might affect behaviour?","regarding 16p1311 gene duplication Dear all, I am a healthcare professional and I recently evaluated a 9 year old boy whose mother reported that he was diagnosed with 16p1311 gene duplication. I have never encountered this problem and when I searched the internet I could not find anything consistent. I have been in contact with the pediatrician who was in charge of this child but unfortunately she is on long term sick leave. Could you give me some information about this condition with the main features? Are there any behavioral, sensory, etc. coordination difficulties that can"
34,How long does Gabapentin last at room temperature? Thanks. Name<PAD><PAD><PAD><PAD><PAD><PAD>,how long is gabapentin effective at room temperature thanks name<PAD><PAD><PAD><PAD><PAD><PAD>,How long does gabapentin keep at room temperature Thanks Name <PAD><PAD><PAD><PAD><PAD><PAD>,,
35,"hello, I have an unopened prescription for Atorvastatin. How long is the shelf life in an unopened container that has been stored at room temperature (about 60 degrees)? Thanks",,"Hi, I have an unopened prescription for Atorvastatin, if it is unopened and kept at room temperature (about 60 degrees), how long is its shelf life? Thank you","Hi, I have an unopened prescription for Atorvastatin, how long is the shelf life in an unopened container that has been stored at room temperature of approximately 60 degrees thanks?","Hello, I have an unopened prescription for atorvastatin. What is the shelf life of an unopened container that has been stored at room temperature, about 60 degrees? Thanks"
36,What diseases are caused by smoking and what effects do they have on the human body?<PAD><PAD>,What are some diseases caused by smoking and what are their effects on the human body<PAD><PAD>,What diseases can smoking cause? What effects does smoking have on the human body? <PAD><PAD>,What are some diseases caused by smoking also what are its effects on the human body <mad> <mad>,what are the diseases caused by smoking and what are their effects on the human body<PAD><PAD>
37,"hi, first of all thank you for the valuable information you posted on your website: http://wwwcdcgovmeaslesaboutcomplicationshtml. I couldn't find any information on the internet about early life. When my son was 6 months old, he had measles as a baby and was not vaccinated when he was sick. I saw that with measles there is a chance of SSPE, that is 4 to 20 out of 100,000 cases. But I want to know what is very important for me: if you had measles when your son was a baby, what is the risk? Please help me to know the facts. Please write me the actual case. I just want to know the truth. Thanks. Best regards",,"Hi, first of all thank you for the valuable information you posted on your website httpwwwcdcgovmeaslesaboutcomplicationshtml, I can't find anything related to early on the internet, my son was 6 months old when he got measles as a baby and was not vaccinated when he got sick, I found out that if you get measles you have a chance of getting sspe which is 4 to 20 out of 100000 cases, but I want to know this is very important for me, if you got measles when your son was a baby, what are the risks, please help me understand the facts, please write cases that are worth noting, I want to know the truth, thank you, best regards","Hi, first of all thanks for the valuable information you posted on your website http://wwwcdcgovmeaslesaboutcomplicationshtml. I couldn't find any information on the web related to early ages when my son was 6 months old and when he was a baby he had measles and he hadn't received the vaccine when he was sick. I saw that if you had measles you have a chance of getting measles that is 4 to 20 out of 100,000 cases but I want to know. It is very important for me if you had measles when your son was still a baby what is the risk? Please help me to know the facts. Please write me the case. I want to know the truth. Thank you. Best regards.","Hello first of all thank you for the valuable information you have posted on your website http://wwwcdcgovmeaslesaboutcomplicationshtml I have not found any information on the web regarding my son's early ages at 6 months when he was a baby he had measles and he had not been vaccinated when he was sick I saw that if you had measles you had a possibility of SPE which is 4 to 20 cases out of 100,000 but I want to know this is very important to me if you had measles when your son was still a baby what is the risk please help me to know the facts please write me the valid case I just want to know the truth thank you best regards"
38,I am interested in the research on Arimidex and the pros and cons of taking it after lumpectomy and radiation for breast cancer. Is there any current research? The potential side effects are concerning. I am making decisions for my 47-year-old daughter with Down syndrome and trying to do what is best for her. She has been taking anastrozole for a year.,interested in the research on arimidex and the pros and cons of taking it after lumpectomy and radiation for breast cancer are there any recent research findings the possible side effects are concerning making decisions for my 47 year old daughter with Down syndrome trying to do what is best she has been taking anastrozole for a year now,,I am interested in the research on Arimidex and the pros and cons of taking it after a lumpectomy and radiation for breast cancer. Are there any recent research results? The possible side effects are concerning. I am making decisions for my 47 year old daughter with Down syndrome and trying to do the best. She has been on Anastrozole for a year.,"I am interested in the research regarding arimidex and the pros and cons of taking it after a lumpectomy and radiation for breast cancer. Is there any recent research? Are there any concerns about the possible side effects? I am making decisions for my 47 year old daughter who has Down syndrome, trying to do what is best. She has been taking anastrozole for a year now"
39,I have had epilepsy for 26 years and my seizures have never been under control. I started the modified Atkins diet a few weeks ago but I am having serious problems and I hope you have an answer. My seizures have tripled in these 2 weeks compared to the years before. Will this diet take a long time to stop or does this diet not work for everyone? Please help me.,I have had epilepsy for 26 years and my seizures have never been under control I started the modified Atkins diet a couple of weeks ago but I am having serious problems and I am hoping you can give me an answer my seizures have tripled in these 2 weeks compared to what they have been in years this diet takes a long time for this not to happen or this diet does not work for everyone please help me,"I have had epilepsy for 26 years and my seizures have never been controlled, I started a modified atkins diet a few weeks ago and I am having serious problems, I hope you can give me an answer, I have had three times as many seizures in the last two weeks as I have in the past few years, will this diet take a long time to stop the seizures or is this diet not for everyone, please help me",,
41,"I was diagnosed with TOS in my left shoulder, I was told surgery would solve my problem, physical therapy didn't help, I'm tired of the numbness and pain in my hand, just wondering if the statistics are good regarding surgery results in percentages, my surgeon's name is Dr.","i was diagnosed with tos in my left shoulder and was told surgery would fix my problem, physiotherapy didn't work, im tired of the numbness and pain in my hand, just wondering if the stats are good in terms of percentage for surgery results. The doctor's name is my surgeon.","I was diagnosed with a sprained left shoulder and the doctor told me surgery would relieve my problem, physical therapy didn't help, I'm tired of the numbness and pain in my hand and just wanted to know if the statistics on surgical results are a good percentage drname is my doctor","I was diagnosed with TOS in my left shoulder was told surgery would help my problem, physical therapy did not help tired of numbness in hand pain just wondering if statistics our good percentage wise for surgery results Drname is my surgeon","I was diagnosed with TOS in my left shoulder, I was told surgery would help my problem, physiotherapy did not help, tired of the numbness and pain in my hand, I am just wondering if the statistics are good in terms of percentage for surgery results, the doctor is my surgeon"
44,Sometime in March I overdosed on Benadryl. I had all the symptoms but survived without medical treatment. I am just curious if any damage like neurological,"sometime in march i overdosed on benadryl, i had all the symptoms but i survived without medical treatment, i'm just curious if any damage like neurological occurred","I overdosed on Benadryl sometime in March and had all the symptoms but didn't get treated, I'm just curious if there was any damage done, like to the nervous system","Sometime during March I overdosed on Benadryl, got all the symptoms but survived without medical treatment, I'm curious if any damage occurred neurologically.","in march i overdosed on benadryl. i had all the symptoms but survived without medical treatment. i'm just curious if any damage happened, like neurological damage"
46,my mother is 96 years old and in generally good health. I keep her on a low sodium diet and am wondering if I am not adding enough sodium to her diet. What is the minimum amount she should be consuming per day? Thanks.,"my mother is 96 years old and generally in good health, i keep her on a low sodium diet and i am wondering if i am not giving her enough sodium in her diet, what is the minimum amount she should be getting per day, thanks","My mom is 96 and has always been in good health, I have her on a low sodium diet, I am wondering if I am not giving her enough sodium, what is the minimum amount she should be getting per day, thanks","My mother is 96 years old and is generally in good health. I keep her on a low sodium diet and I am wondering if I am not allowing her enough sodium in her diet, what is the minimum amount she should be consuming per day? Thank you.","my mother is 96 and generally healthy. I keep her on a low sodium diet and I am wondering if I am not allowing enough sodium in her diet, what is the minimum amount she should have per day. Thanks"
47,hello if periodontitis is left untreated for about 7 months will it have any effect on the condition as I have to travel a dentist told me I have advanced periodontitis with gum pockets of 59mm and bone loss 2050 with restorations and caries all my teeth are at this stage some are loose if I wait it for this period is it likely to get worse at all and on the other hand what could I expect if I get treatment immediately will it help in any way hope to hear from you many thanks name,hi if periodontitis is left untreated for about 7 months will it have any effect on my condition as i have to travel a dentist told me i have advanced modal periodontitis with 59mm gum pockets and 2050 bone loss with restorations and decay i have all my teeth at this stage some are loose if i leave it for this amount of time it is likely to get worse and what can i expect on the other hand if i seek treatment immediately will it help me in some way i hope to hear from you thanks please name,"Hi, if periodontitis is not treated for about 7 months, will it affect the condition, as I need to travel for work, the dentist told me that I have moderate periodontitis, with 59mm periodontal pockets, 2050mm bone loss, restorations and caries, all my teeth are currently at this stage, some are loose, will the condition worsen if I leave it for so long, what can I expect, on the other hand, if I seek treatment immediately, will it help, hope to hear from you, thanks, name","Hi, if periodontitis is left untreated for about 7 months will it have any effect on the condition as I need to travel? I was told by a dentist that I have advanced periodontitis with gum pockets of 59mm and bone loss of 2050 with restorations and decay. I have all my teeth at this stage some are loose. If I leave it for this long am I likely to get worse and what can I expect? On the other hand if I seek treatment immediately will it help in any way? I look forward to hearing from you. Thank you, Kindly. Name","Hello, if periodontitis is left untreated for about 7 months, will it have any effect on the health condition since I have to travel? A dentist told me that I have advanced periodontitis with 59mm periodontal pockets and 2050 bone loss with restorations and cavities. I have all my teeth at this stage, some are loose. If I leave it for this amount of time, will it get worse and what can I expect? On the other hand, if I seek treatment immediately, it will help me in some way. I hope to hear from you, please let me know my name."
48,I saw my endocrinologist today and he said I should look into testing or new research. I am a type 1 diabetic and my doctor said my case is unique. He suggested I contact you to see if you have any research that might help me.,"today i went to my endocrinologist and he told me i should look for some tests or new research for a person like me, i am type 1 diabetic and my doctor said my case is unique and suggested i contact you to see if you have any research that could help me","I went to see my endocrinologist today and he said I should get testing or new research for people like me, I am a type 1 diabetic and my doctor said my situation is unique and he suggested I contact you to see if you might have research that could help me",I was at my endocrinologist today and he said I should look into testing or further investigation for someone like me I am a type 1 diabetic and my doctor said,I was at my endocrinologist today and he told me that I should consider some tests or further research for someone like me. I am a type 1 diabetic and my doctor said that my case was unique. He suggested that I contact you to see if you had any research that could help me.
50,Customer Service Request: My daughter has Turner syndrome but she has exceeded all expectations. She developed on her own and got her period on her own. She is now pregnant with identical twins on her own. My question is can she have normal children or are they more likely to have Turner syndrome? My daughter has been tested many times to confirm her diagnosis of Turner syndrome and she is a complete XO mosaic but still does not have many of the features. I am just questioning the safety of the pregnancy and the health of the babies. Thank you for your help.,,"Customer Service Request My daughter has Turner Syndrome but she beat all the odds and she had it on her own, she got her period on her own and now she is pregnant with identical twins on her own, my question is will she be able to have normal children or is there a greater chance they will have Turner Syndrome? My daughter has been tested several times to confirm she has Turner Syndrome and she is a full XO not mosaic but still does not show many of the features again, I just question the safety of the pregnancy and the health of the babies, thank you for your help",Customer service request my daughter has turner syndrome but she has beaten all the odds she developed on our own of having turner syndrome my daughter has been tested many times to confirm her diagnosis of turner syndrome and she is a full XO not mosaic but still not showing many of the features again i am questioning the safety of the pregnancy and the health of the babies thanks for your help,
51,Question: Do you know which genetic abnormality causes lipoamide dehydrogenase deficiency? E3<PAD>,question do you know which genetic abnormality causes lipoamide dehydrogenase e3 deficiency<PAD>,,Question: Do you know what genetic abnormality causes lipoamide dehydrogenase e3 deficiency<PAD>?,
