,german,italian,chineese,spanish,french
10,Vagual Nerve Stimulation and Depression I have suffered from frequent migraine attacks for many years and little help from medication. Would you like to learn more about vagal nerve stimulation?,,,Nerve stimulation and depression have suffered for many years complicated by frequent migraines and little help from medications such as learning more about vagal nerve stimulation,
11,"Abdominal pain. My 13-year-old son has upper abdominal pain in the morning and slightly after lunch and in the evening after dinner. I have been to five doctors and also had an ultrasound done, but the problem is not solved. Please advise me what I should do.","stomach ache my 13 year old son has severe upper abdominal pain, very severe in the morning and slightly after lunch and in the evening after dinner. Please I have been to five doctors and also done an ultrasound, but the problem has not been solved. Please tell me what to do.","Stomach pain, my 13 year old son has pain in the upper abdomen in the morning, a little pain after lunch, and pain in the evening after dinner, I have seen 5 doctors and also had ultrasounds, but the problem has not been solved, please tell me what to do","Stomach ache, my 13 years old son is facing upper abdominal pain, morning pain in the morning time and slightly after lunch and in the evening after dinner, I also went to five doctors and ultra scan but the problem is not solved for me.",stomach pain my 13 year old son is suffering from severe upper abdominal pain in the morning and slightly after eating lunch and in the evening after dinner. I was kind enough to go to five doctors and do an ultrasound scan also but the problem is not solved please advise me what to do
12,I just want to ask if there are any options or if surgery is necessary to get pregnant. A woman like me had a tubal ligation 7 years ago.,I just want to ask if there are ways or if you can have an operation to get pregnant. A woman like me had a tubal ligation 7 years ago.,I just want to ask if there is a way or surgery to get pregnant for a woman like me who had a tubal ligation 7 years ago,,I just want to ask if I have any means or if I have to undergo surgery to get pregnant. A woman like me had a tubal ligation 7 years ago.
13,Thyroid cancer Please send all data regarding the operation problems after the operation possible results to the operation,thyroid cancer please send all data regarding surgical problems after surgery possible outcomes of surgery,Thyroid cancer Please send all data about the surgery Postoperative problems Possible results of the surgery,"Thyroid cancer, please send all data about surgery problems after surgery, possible results of surgery.",
14,"Will the effectiveness of my medications decrease if I store them in the freezer? I have many more questions about storing pills at different temperatures that I would like to ask, but let's start with this one. The medications I am concerned about are digoxin and lisinopril. As far as I know, the dosage is the lowest possible prescribed dosage for each medication. If that is important, I hope my question will not be considered a specific or individual-related question and that you are able to answer it as comprehensively and objectively as possible. Thank you in advance.","will storing my medications in the freezer reduce their effectiveness? I have several other related questions about storing pills at different temperatures that I would like to ask, but let's start with this question. The medications I am concerned about are digoxin and lisinopril. As far as I know, the dosage is the lowest possible prescribed for each medication, if that matters. I hope my question is not taken as a specific or individual question and that you can answer as broadly and objectively as possible. Thank you very much in advance.","Does storing medications in the refrigerator reduce their effectiveness? I have a lot of related questions I'd like to ask about storing pills at different temperatures, but let's start with this one, the medications I'm concerned about are Digoxin and Lisinopril, and from what I understand the dosages are the lowest prescribed doses for each, if that's important, I hope my question won't be considered a specific or personal one, and that you'll be able to answer in the most broad and objective way possible, thank you very much.","Storing my medication in the freezer will reduce its effectiveness. I have many and more related questions about storing pills at various temperatures that I would like to ask but let's start with that question that the medications I am concerned about are digoxin and lisinopril as far as I know the dosage is the lowest possible prescribed dose for each medication if that matters, I hope my question is not considered a specific or individual question and you can answer as broadly and objectively as possible, thank you very much in advance",
18,I am calling because I would like to get more advice on the preparation of Risperdoin medication and gain experience with the drug and the preparation of the drug,I am calling because I would like to get more advice on creating the risperdoine drug and gain experience on the drug and its creation,,I am calling because I would like to receive more advice on how to prepare risperidone medications and gain experience with the medication and its creation.,I am calling because I would like more advice on creating risperdoin drugs and gaining experience on the drug and drug creation
20,"prenatal testing for Leigh syndrome I am looking for information about prenatal testing, anamnio or chorionic villus sampling for Narp and Leigh syndrome. Thank you in advance.",prenatal tests for leigh syndrome I am looking for information on how to do prenatal tests amnio or chorionic villus sampling for narp and leigh syndrome thanks in advance,Prenatal testing for Leigh syndrome I am looking for information on doing an amniocentesis or chorionic villus sampling test to detect fetal maldevelopment (narp) and Leigh syndrome Thank you in advance,"Prenatal testing for Leigh syndrome. I am looking for information on how to perform prenatal testing, angioplasty or chorionic villus sampling for NARP and Leigh syndrome. Thank you in advance.",
21,"hello, I have a mixed diagnosis of autoimmune connective tissue disease and I would like to submit information about this disease. I also need some reputable rheumatologists recommended in Argentina or Latin America. Thank you very much.",,"Hello, I have been diagnosed with autoimmune connective tissue disease and would like to submit information about this disease, I also need some recommendations for rheumatologists in Argentina or Latin America, thank you very much",,
23,I had a total hip replacement of both hip joints in 1977 using the Charnley process. My left joint is completely worn out. How safe and effective is revision surgery? Can I get a cementless joint? I am 66 years old. A prompt response to my query would be very welcome.,"I had total hip replacement of both hip joints in 1977, the Charnley process, my left joint is completely worn out. How safe and effective is revision surgery? Can I get a cementless joint? I am 66 years old. A prompt response to my inquiry will be greatly appreciated.","I had bilateral hip replacements in 1977, my left hip is completely worn out, how safe and effective is a revision surgery, can I get a cementless joint? I am 66 years old, I would appreciate an early response to my question",I have had a total hip replacement of both my hip joints in 1977 Charnley process My left joint is fully used as it is safe and effective it is revision surgery I get a cementless joint.,"I had a total hip replacement of both my hip joints in 1977, Charnley process, my left joint is completely worn out. How safe and effective is revision surgery? Can I get a cementless joint? I am 66 years old. A quick answer to my question will be much appreciated."
24,I have noticed hair loss on the lower extremities in men. Is this poor circulation? Any advice?,"I have observed hair loss on the lower extremities in males, it is poor blood circulation, do you have any advice?","I have observed hair loss on the male limbs, is this due to poor blood circulation? Any suggestions?","I have observed hair loss on the lower extremities in men, is this poor blood circulation?",I have noticed hair loss on the lower limbs in men. Is this poor blood circulation? Any advice?
25,my five year old son has Ganglisidosis GM 1. We are looking for a drug that could help him or at least prolong his life. He has been on Miglusitat for a week. Can you help us or just send us some information? We would be very grateful.,my five year old son has gangliside gm 1 we are looking for a drug that can help him or at least prolong his life he takes miglusitat for 1 week can you help us or just send us some information we would be very grateful,"My son is five years old and has ganglioside 1, we are looking for a drug that can help him or at least prolong his life, he is on miglucital for 1 week, can you help us or just send some information, we will be very grateful",my 5 year old son has gangliosidosis gm 1 we are looking for a medicine that can help him or at least can prolong his life. he is on miglusitat for 1 week. can you help us or just send us some information? we would be very grateful.,my five year old son has GM 1 gangliside we are looking for a medicine that could help him or at least could prolong his life he is given miglusitat for 1 week can you help us or just send information we would be very grateful
26,I would like to interview someone via email to get information about generalized anxiety disorder for a newsletter project in my abnormal psychology course at the site. Thank you,I would like to interview someone via email to get information about generalized anxiety disorder for a newsletter project in my abnormal psychology course at the campus. Thank you very much,,"I would like to interview someone via email to gain insight into generalized anxiety disorder for a newsletter project in my abnormal psychology class at the placement, thank you very much.",
27,need information about Folgard OS. I am in the US but that was not listed as a country selection,I need information on folgard os I am in the USA but it is not listed as a country choice,"Need information about folgard os, I am in the United States but the country is not listed as a country choice",I need information about Folgard OS I am in the US but that was not listed as a country choice,i need information on folgard os i am in the united states but it was not listed as a country choice
30,Is balsalazide a steroid? I have been taking it for almost 2 years now. Your information says it is 68 weeks. Will it harm my other organs? I took Asacol 750mg x9 each day before balsalazide. Is it safe? I can't seem to lose any weight no matter how hard I try. I work out 56 days a week for 30 minutes. Watch my diet.,"is balsalazide a steroid? I have been on it for almost 2 years now, your info says 68 weeks, will this damage my other organs. I was on asacol before balsalazide 750mg each x9 a day, is it safe? I can't lose weight no matter how hard I try, I exercise 56 days a week for 30 minutes, I watch what I eat","Is balsalazide a steroid? I have been taking it for almost 2 years and your info says I have been taking it for 68 weeks, will this cause damage to my other organs? Before taking balsalazide I was taking Axalco, 9 pills a day, 750 mg each time, is this safe? I can’t seem to lose any weight no matter how hard I try, I work out 56 days a week for 30 minutes each time and watch my diet",Is balsalazide a steroid? I have been on it for almost 2 years. Your information states I am 68 weeks along. Will this damage my other organs? I was on Asacol before taking balsalazide 750mg each x9 per day. Is this safe? I can't seem to lose weight no matter how hard I try. I work out 56 days a week for 30 minutes and watch what I eat.,"is balsalazide a steroid? I have been taking it for almost 2 years now. Your information says 68 weeks. Will it cause damage to my other organs? I was on asacol before balsalazide 750mg each x 9 a day. Is it safe? I can't seem to lose weight no matter how hard I try, I exercise 56 days a week for 30 minutes. Watch what I eat."
31,"hello, I have a few questions about autonomic dysfunction combined with arthritis. My girlfriend has arthritis and autonomic dysfunction. I'm very worried about her and want to help her. Are there any new medications to treat the autonomic dysfunction? Her autonomic dysfunction also affects her heart, lungs and blood pressure. Is this condition fatal? How long does someone live with this condition?","Hi, I have some questions about autonomic disorders combined with arthritis, my girlfriend has arthritis and autonomic disorder, I am very concerned about her and want to help her, are there any new medications out there to treat autonomic disorder? Also, does autonomic disorder affect her heart, lungs and blood pressure? Is this condition fatal? How long does a person with this condition live?",,,"Hello, I have some questions about autonomic disorders associated with arthritis. My girlfriend has arthritis and autonomic disorders. I am very worried about her and want to help her. Are there any new medications for treating autonomic disorders? Does her autonomic disorder also affect her heart, lungs, and blood pressure? Is this disease fatal? How long does someone live with this disease?"
32,I have a steel plate in my ankle from a bad leg break a long time ago and I have to bear weight. They said they will remove the plate in a year which is not long now. I am trying to find information about it. How long will I be in hospital or can it be an outpatient surgery? Will I also need crutches etc? I need to know what the procedure is like as I am very scared of going back there.,"I have a steel plate in my ankle due to a severe leg fracture, it's been a long time now and I'm bearing weight, they said they would take the plate out in a year which isn't far off, I'm trying to find information about this, how long will I have to stay in hospital or can it be a day surgery? Also, will I need crutches etc. I need to know the procedure because I'm terrified of going back there","I have a plate in my ankle because I had a serious leg fracture. It has been a long time now and I can now bear weight. They said that the plate can be removed in a year, which is not long. I am looking for information on how long I will need to stay in the hospital or if it can be a day surgery, whether I will need crutches, etc. I need to understand the surgery process because I am afraid to go back to the hospital.",,"I have a steel plate in my ankle from a badly broken leg, it's been a long time now and I'm weight bearing, they said they would remove the plate in a year which isn't far away. I'm trying to find out any information on this. How long will I be in hospital or will it be a day surgery? Will I also need crutches etc. I need to know the procedure as it terrifies me to go back"
33,"Subject: 16p1311 Gene Duplication Dear all, I am a healthcare professional and recently examined a 9 year old boy in my care population whose mother reported that he was diagnosed with 16p1311 Gene Duplication. I had never come across this before and when I looked online I couldn't find anything related. I spoke to the pediatrician who used to care for the child but unfortunately she is long term ill. Could you please give me some information about this condition with the main characteristics? Are there any behavioral, coordination, sensory difficulties, etc. that can cause this?",regarding 16p1311 gene duplication dear all I am a healthcare professional and I have recently assessed a 9 year old boy in my caseload whose mother reported that he has been diagnosed with 16p1311 gene duplication I have never come across this topic and when I searched on the internet I could not find anything coherent I have been in contact with the pediatrician who was treating that child but unfortunately she has been ill for a long time could you give me some information about this condition with the main characteristics please there are difficulties in behavioral coordination sensory etc. that can,"Dear all, regarding the 16p1311 gene duplication, I am a health professional and I recently evaluated a 9-year-old boy, his mother reported that he was diagnosed with the 16p1311 gene duplication, I have never come across this condition, and when I looked it up on the internet I could not find anything about it, I contacted the pediatrician who was previously responsible for this child, but unfortunately, she has been ill for a long time, can you provide me with some information about this disease, including the main features, and please ask if there are problems with behavioral coordination, sensory difficulties, etc.?","re 16p1311 gene duplication Dear all, I am a healthcare professional and I have recently assessed a 9 year old boy on my case list whose mother reported that she had been diagnosed with 16p1311 gene duplication. I have never come across it and when I searched on the internet I couldn’t find anything coherent. I have been in contact with the pediatrician who used to be in charge of that child but unfortunately she is ill long term. Could you please provide me with some information about this condition with the key features? Are there any coordination, sensory etc difficulties that might affect behaviour?","regarding 16p1311 gene duplication Dear all, I am a healthcare professional and I recently evaluated a 9 year old boy whose mother reported that he was diagnosed with 16p1311 gene duplication. I have never encountered this problem and when I searched the internet I could not find anything consistent. I have been in contact with the pediatrician who was in charge of this child but unfortunately she is on long term sick leave. Could you give me some information about this condition with the main features? Are there any behavioral, sensory, etc. coordination difficulties that can"
34,How long does Gabapentin last at room temperature? Thanks. Name<PAD><PAD><PAD><PAD><PAD><PAD>,how long is gabapentin effective at room temperature thanks name<PAD><PAD><PAD><PAD><PAD><PAD>,How long does gabapentin keep at room temperature Thanks Name <PAD><PAD><PAD><PAD><PAD><PAD>,,
35,"hello, I have an unopened prescription for Atorvastatin. How long is the shelf life in an unopened container that has been stored at room temperature (about 60 degrees)? Thanks",hi i have an unopened prescription for atorvastatin how long does it last in an unopened container stored at room temperature about 60 degrees thanks,"Hi, I have an unopened prescription for Atorvastatin, if it is unopened and kept at room temperature (about 60 degrees), how long is its shelf life? Thank you","Hi, I have an unopened prescription for Atorvastatin, how long is the shelf life in an unopened container that has been stored at room temperature of approximately 60 degrees thanks?","Hello, I have an unopened prescription for atorvastatin. What is the shelf life of an unopened container that has been stored at room temperature, about 60 degrees? Thanks"
36,What diseases are caused by smoking and what effects do they have on the human body?<PAD><PAD>,What are some diseases caused by smoking and what are their effects on the human body<PAD><PAD>,What diseases can smoking cause? What effects does smoking have on the human body? <PAD><PAD>,What are some diseases caused by smoking also what are its effects on the human body <mad> <mad>,what are the diseases caused by smoking and what are their effects on the human body<PAD><PAD>
37,"hi, first of all thank you for the valuable information you posted on your website: http://wwwcdcgovmeaslesaboutcomplicationshtml. I couldn't find any information on the internet about early life. When my son was 6 months old, he had measles as a baby and was not vaccinated when he was sick. I saw that with measles there is a chance of SSPE, that is 4 to 20 out of 100,000 cases. But I want to know what is very important for me: if you had measles when your son was a baby, what is the risk? Please help me to know the facts. Please write me the actual case. I just want to know the truth. Thanks. Best regards","hello first of all thank you for the valuable information you have posted on your website http://wwwcdcgovmeaslesaboutcomplicationshtml I could not find any information on the web regarding early childhood when my son was 6 months old when he was little he had measles and he had not had the vaccine when he was sick I saw that if you have had measles you have the possibility of contracting SSP, that is 4 to 20 cases out of 100000 but I want to know it is very important for me if you had measles when your son was still little what is the risk please help me to know the facts please write me the valuable case I want to know only the truth thanks best regards","Hi, first of all thank you for the valuable information you posted on your website httpwwwcdcgovmeaslesaboutcomplicationshtml, I can't find anything related to early on the internet, my son was 6 months old when he got measles as a baby and was not vaccinated when he got sick, I found out that if you get measles you have a chance of getting sspe which is 4 to 20 out of 100000 cases, but I want to know this is very important for me, if you got measles when your son was a baby, what are the risks, please help me understand the facts, please write cases that are worth noting, I want to know the truth, thank you, best regards","Hi, first of all thanks for the valuable information you posted on your website http://wwwcdcgovmeaslesaboutcomplicationshtml. I couldn't find any information on the web related to early ages when my son was 6 months old and when he was a baby he had measles and he hadn't received the vaccine when he was sick. I saw that if you had measles you have a chance of getting measles that is 4 to 20 out of 100,000 cases but I want to know. It is very important for me if you had measles when your son was still a baby what is the risk? Please help me to know the facts. Please write me the case. I want to know the truth. Thank you. Best regards.","Hello first of all thank you for the valuable information you have posted on your website http://wwwcdcgovmeaslesaboutcomplicationshtml I have not found any information on the web regarding my son's early ages at 6 months when he was a baby he had measles and he had not been vaccinated when he was sick I saw that if you had measles you had a possibility of SPE which is 4 to 20 cases out of 100,000 but I want to know this is very important to me if you had measles when your son was still a baby what is the risk please help me to know the facts please write me the valid case I just want to know the truth thank you best regards"
38,I am interested in the research on Arimidex and the pros and cons of taking it after lumpectomy and radiation for breast cancer. Is there any current research? The potential side effects are concerning. I am making decisions for my 47-year-old daughter with Down syndrome and trying to do what is best for her. She has been taking anastrozole for a year.,interested in the research on arimidex and the pros and cons of taking it after lumpectomy and radiation for breast cancer are there any recent research findings the possible side effects are concerning making decisions for my 47 year old daughter with Down syndrome trying to do what is best she has been taking anastrozole for a year now,"Interested in the research on Anastrozole and the pros and cons of taking it after a lumpectomy and radiation for breast cancer, are there any findings from recent studies, possible side effects are worrisome, I am making decisions for my 47 year old daughter with Down syndrome, trying to make the best decision for her, she has been taking Anastrozole for a year",I am interested in the research on Arimidex and the pros and cons of taking it after a lumpectomy and radiation for breast cancer. Are there any recent research results? The possible side effects are concerning. I am making decisions for my 47 year old daughter with Down syndrome and trying to do the best. She has been on Anastrozole for a year.,"I am interested in the research regarding arimidex and the pros and cons of taking it after a lumpectomy and radiation for breast cancer. Is there any recent research? Are there any concerns about the possible side effects? I am making decisions for my 47 year old daughter who has Down syndrome, trying to do what is best. She has been taking anastrozole for a year now"
39,I have had epilepsy for 26 years and my seizures have never been under control. I started the modified Atkins diet a few weeks ago but I am having serious problems and I hope you have an answer. My seizures have tripled in these 2 weeks compared to the years before. Will this diet take a long time to stop or does this diet not work for everyone? Please help me.,I have had epilepsy for 26 years and my seizures have never been under control I started the modified Atkins diet a couple of weeks ago but I am having serious problems and I am hoping you can give me an answer my seizures have tripled in these 2 weeks compared to what they have been in years this diet takes a long time for this not to happen or this diet does not work for everyone please help me,"I have had epilepsy for 26 years and my seizures have never been controlled, I started a modified atkins diet a few weeks ago and I am having serious problems, I hope you can give me an answer, I have had three times as many seizures in the last two weeks as I have in the past few years, will this diet take a long time to stop the seizures or is this diet not for everyone, please help me",,
41,"I was diagnosed with TOS in my left shoulder, I was told surgery would solve my problem, physical therapy didn't help, I'm tired of the numbness and pain in my hand, just wondering if the statistics are good regarding surgery results in percentages, my surgeon's name is Dr.","i was diagnosed with tos in my left shoulder and was told surgery would fix my problem, physiotherapy didn't work, im tired of the numbness and pain in my hand, just wondering if the stats are good in terms of percentage for surgery results. The doctor's name is my surgeon.","I was diagnosed with a sprained left shoulder and the doctor told me surgery would relieve my problem, physical therapy didn't help, I'm tired of the numbness and pain in my hand and just wanted to know if the statistics on surgical results are a good percentage drname is my doctor",,"I was diagnosed with TOS in my left shoulder, I was told surgery would help my problem, physiotherapy did not help, tired of the numbness and pain in my hand, I am just wondering if the statistics are good in terms of percentage for surgery results, the doctor is my surgeon"
43,"Polymicrogyria, my 16 month old son has this. He can't sit upright or crawl yet but he's still trying and making progress with grasping things etc etc. I've read of other cases that seem to be 10,000 times worse, is it possible his brain will go back to normal and he'll overcome it?","polymicrogyria, my 16 month old son has it, he still can't sit up or crawl, but he's still trying and is getting better at grabbing things etc etc. I've read about other cases that seem 10000 times worse, is it possible that this post of his brain has grown to normal and he has outgrown it","My 16 month old son has polymicrogyria, he won’t crawl or sit up yet but he is working on it and his grasping is improving etc, I have read other cases that seem to be 10000 times more severe, it is possible that this part of his brain will grow to normal and then he will outgrow this disease",Polymicrogyria My 16 month old son has this he still won't sit up on our crawl but he still tries and is getting better at grabbing things etc etc have read about other cases that seem 10000 times worse is it possible this post his brain will go back to normal and he will grow out of it,"polymicrogyria My 16 month old son has this. He can't sit up or crawl yet, but he's still trying and getting better at reaching for things etc. I've read other cases that seem 10,000 times worse. Is it possible for his brain to go back to normal and he'll be okay?"
44,Sometime in March I overdosed on Benadryl. I had all the symptoms but survived without medical treatment. I am just curious if any damage like neurological,,"I overdosed on Benadryl sometime in March and had all the symptoms but didn't get treated, I'm just curious if there was any damage done, like to the nervous system","Sometime during March I overdosed on Benadryl, got all the symptoms but survived without medical treatment, I'm curious if any damage occurred neurologically.","in march i overdosed on benadryl. i had all the symptoms but survived without medical treatment. i'm just curious if any damage happened, like neurological damage"
46,my mother is 96 years old and in generally good health. I keep her on a low sodium diet and am wondering if I am not adding enough sodium to her diet. What is the minimum amount she should be consuming per day? Thanks.,"my mother is 96 years old and generally in good health, i keep her on a low sodium diet and i am wondering if i am not giving her enough sodium in her diet, what is the minimum amount she should be getting per day, thanks","My mom is 96 and has always been in good health, I have her on a low sodium diet, I am wondering if I am not giving her enough sodium, what is the minimum amount she should be getting per day, thanks","My mother is 96 years old and is generally in good health. I keep her on a low sodium diet and I am wondering if I am not allowing her enough sodium in her diet, what is the minimum amount she should be consuming per day? Thank you.","my mother is 96 and generally healthy. I keep her on a low sodium diet and I am wondering if I am not allowing enough sodium in her diet, what is the minimum amount she should have per day. Thanks"
47,hello if periodontitis is left untreated for about 7 months will it have any effect on the condition as I have to travel a dentist told me I have advanced periodontitis with gum pockets of 59mm and bone loss 2050 with restorations and caries all my teeth are at this stage some are loose if I wait it for this period is it likely to get worse at all and on the other hand what could I expect if I get treatment immediately will it help in any way hope to hear from you many thanks name,hi if periodontitis is left untreated for about 7 months will it have any effect on my condition as i have to travel a dentist told me i have advanced modal periodontitis with 59mm gum pockets and 2050 bone loss with restorations and decay i have all my teeth at this stage some are loose if i leave it for this amount of time it is likely to get worse and what can i expect on the other hand if i seek treatment immediately will it help me in some way i hope to hear from you thanks please name,"Hi, if periodontitis is not treated for about 7 months, will it affect the condition, as I need to travel for work, the dentist told me that I have moderate periodontitis, with 59mm periodontal pockets, 2050mm bone loss, restorations and caries, all my teeth are currently at this stage, some are loose, will the condition worsen if I leave it for so long, what can I expect, on the other hand, if I seek treatment immediately, will it help, hope to hear from you, thanks, name","Hi, if periodontitis is left untreated for about 7 months will it have any effect on the condition as I need to travel? I was told by a dentist that I have advanced periodontitis with gum pockets of 59mm and bone loss of 2050 with restorations and decay. I have all my teeth at this stage some are loose. If I leave it for this long am I likely to get worse and what can I expect? On the other hand if I seek treatment immediately will it help in any way? I look forward to hearing from you. Thank you, Kindly. Name","Hello, if periodontitis is left untreated for about 7 months, will it have any effect on the health condition since I have to travel? A dentist told me that I have advanced periodontitis with 59mm periodontal pockets and 2050 bone loss with restorations and cavities. I have all my teeth at this stage, some are loose. If I leave it for this amount of time, will it get worse and what can I expect? On the other hand, if I seek treatment immediately, it will help me in some way. I hope to hear from you, please let me know my name."
