,spanish,french,chineese,italian,german
10,La estimulación nerviosa y la depresión han sufrido durante muchos años complicados por las migrañas frecuentes y poca ayuda de medicamentos como aprender más sobre la estimulación del nervio vagual,"la stimulation du nerf vague et la dépression souffrent depuis de nombreuses années, compliquées par des migraines fréquentes et peu d'aide des médicaments. J'aimerais en savoir plus sur la stimulation du nerf vague",迷走神经刺激和抑郁症已经困扰了很多年，经常伴有偏头痛，药物治疗也收效甚微，想了解更多关于迷走神经刺激的信息,la stimolazione del nervo vago e la depressione hanno sofferto per molti anni complicati da frequenti emicranie e scarso aiuto da parte dei farmaci come saperne di più sulla stimolazione del nervo vago,Vagualnervstimulation und Depression leiden seit vielen Jahren unter häufigen Migräneanfällen und wenig Hilfe durch Medikamente. Möchten Sie mehr über Vagualnervstimulation erfahren?
11,"Dolor de estómago, mi hijo de 13 años se enfrenta al dolor abdominal superior, el dolor de la mañana en la hora de la mañana y ligeramente después de almorzar y en la noche después de la cena, también fui cinco médicos y ultra exploración, pero el problema no resuelve por mí.","douleur à l'estomac mon fils de 13 ans souffre de douleurs abdominales hautes sévères le matin et légèrement après avoir mangé le déjeuner et le soir après le dîner. J'ai eu la gentillesse d'aller chez cinq médecins et de faire une échographie également, mais le problème n'est pas résolu, veuillez me conseiller quoi faire",胃痛，我 13 岁的儿子早上起来上腹部疼痛，午饭后稍稍疼痛，晚上晚饭后疼痛，我看了 5 位医生，也做了超声检查，但问题没有解决，请告诉我该怎么办,"mal di stomaco mio figlio di 13 anni ha forti dolori addominali nella parte superiore, molto forti al mattino e leggermente dopo pranzo e la sera dopo cena. Per favore sono andato da cinque dottori e ho fatto anche un'ecografia, ma il problema non è stato risolto. Per favore, ditemi cosa fare.","Bauchschmerzen. Mein 13-jähriger Sohn hat morgens und leicht nach dem Mittagessen und abends nach dem Abendessen Schmerzen im Oberbauch. Ich war bei fünf Ärzten und habe auch einen Ultraschall machen lassen, aber das Problem ist nicht gelöst. Bitte raten Sie mir, was ich tun soll."
12,Solo quiero preguntar si hay alguna forma de hacerme una operación para quedar embarazada. Una mujer como yo se hizo una ligadura de trompas hace 7 años.,je veux juste demander si j'ai des moyens ou si je dois subir une opération pour être enceinte. Une femme comme moi a subi une ligature des trompes il y a 7 ans.,我只是想问一下，是否有办法或手术来怀孕，像我这样的女人 7 年前做过输卵管结扎术,Vorrei solo chiedere se ci sono dei modi o se si può fare un'operazione per rimanere incinta. Una donna come me ha subito una legatura delle tube 7 anni fa.,"ich möchte nur fragen, ob es Möglichkeiten gibt oder eine Operation notwendig ist, um schwanger zu werden. Eine Frau wie ich hatte vor 7 Jahren eine Tubenligatur."
13,"Cáncer de tiroides, envíe todos los datos sobre los problemas de la cirugía después de la cirugía, los posibles resultados de la cirugía.",cancer de la thyroïde veuillez envoyer toutes les données concernant les problèmes de chirurgie après la chirurgie et les résultats possibles de la chirurgie,甲状腺癌请发送有关手术的所有数据 手术后问题 手术可能出现的结果,cancro alla tiroide si prega di inviare tutti i dati riguardanti i problemi chirurgici dopo l'intervento possibili esiti dell'intervento,Schilddrüsenkrebs Bitte senden Sie alle Daten bezüglich der Operation Probleme nach der Operation mögliche Ergebnisse an die Operation
14,"El almacenamiento de mi medicamento en el congelador reducirá su eficacia. Tengo muchas y más preguntas relacionadas sobre el almacenamiento de píldoras a varias temperaturas que me gustaría hacer, pero comencemos con esa pregunta que los medicamentos que me preocupan son la digoxina y la lisinopril en la medida en que Sé que la dosis es la dosis prescrita más baja posible para cada medicamento si eso importa, espero que mi pregunta no se considere una pregunta específica o individual y puede responder de la manera más amplia y objetiva, muchas gracias en avance","est-ce que le stockage de mes médicaments au congélateur réduira leur efficacité ? J'ai beaucoup de questions sur le stockage des pilules à différentes températures que j'aimerais poser, mais commençons par cette question. Les médicaments qui me préoccupent sont la digoxine et le lisinopril. Pour autant que je sache, le dosage est le dosage le plus bas possible prescrit pour chaque médicament. Si cela compte, j'espère que ma question ne sera pas considérée comme une question spécifique ou individuelle et que vous serez en mesure de répondre de la manière la plus large et la plus objective. Merci beaucoup d'avance",将药物存放在冰箱中是否会降低其功效？我有很多关于在不同温度下储存药丸的相关问题，我想问一下，但让我们从这个问题开始，我关心的药物是地高辛和赖诺普利，据我所知，剂量是每种药物的最低处方剂量，如果这很重要，我希望我的问题不会被认为是一个具体或个人的问题，并且您能够以最广泛和客观的方式回答，非常感谢。,"conservare i miei farmaci nel congelatore ne ridurrà l'efficacia? Ho molte altre domande correlate sulla conservazione delle pillole a diverse temperature che vorrei porre, ma iniziamo con questa domanda. I farmaci che mi preoccupano sono la digossina e il lisinopril. Per quanto ne so, il dosaggio è il più basso possibile prescritto per ciascun farmaco, se questo ha importanza. Spero che la mia domanda non venga considerata una domanda specifica o basata su un individuo e che tu riesca a rispondere nel modo più ampio e obiettivo. Grazie mille in anticipo.","Verringert sich die Wirksamkeit meiner Medikamente, wenn ich sie im Gefrierschrank lagere? Ich habe viele weitere Fragen zur Lagerung von Tabletten bei verschiedenen Temperaturen, die ich gerne stellen würde, aber beginnen wir mit dieser Frage. Die Medikamente, die mich beschäftigen, sind Digoxin und Lisinopril. Soweit ich weiß, ist die Dosierung die niedrigstmögliche verschriebene Dosierung für jedes Medikament. Wenn das wichtig ist, hoffe ich, dass meine Frage nicht als spezifische oder individuell bezogene Frage angesehen wird und dass Sie in der Lage sind, sie so umfassend und objektiv wie möglich zu beantworten. Vielen Dank im Voraus."
15,"Hola, lo siento por mi madre, tiene la boca, el cuello y los brazos negros, su piel ha cambiado de color a negro, tiene diabetes, se inyecta insulina, ¿puedes recomendarme algo? Envíalo desde mi dispositivo Android MetroPCS 4G.","Bonjour, je suis désolé pour ma mère, elle a la bouche, le cou et les bras noirs, sa peau a changé de couleur, elle a le diabète, elle s'injecte de l'insuline, pouvez-vous me recommander quelque chose, s'il vous plaît, envoyé depuis mon appareil Android MetroPCS 4G",你好，我很抱歉，我妈妈的情况很糟糕，她的嘴、脖子和手臂都变黑了，她的皮肤也变黑了，她患有糖尿病，正在注射胰岛素，你能给我推荐点什么吗？请从我的 metropcs 4g 安卓设备发送,"ciao mi dispiace per mia mamma ha la bocca, il collo e le braccia nere la sua pelle è cambiata in un colore nero ha il diabete inietta insulina puoi consigliarmi qualcosa per favore inviato dal mio dispositivo Android MetroPCS 4G","hallo, es tut mir leid wegen meiner Mutter, sie hat schwarze Flecken an Mund, Hals und Armen, ihre Haut hat sich schwarz verfärbt, sie hat Diabetes, sie spritzt sich Insulin, können Sie mir bitte etwas empfehlen, das ich von meinem Metropcs 4G-Android-Gerät senden kann?"
16,"Hola, mi nombre es el nombre y soy estudiante en la ubicación aquí en la ubicación. Estoy componiendo un informe de investigación sobre SMAT y esperaba que pudiera ayudarme con alguna información. Estaba particularmente interesado en aprender el clima que los padres deben estar preocupados por la muerte de las cunas y si Podrías dirigirme a algunos recursos sobre eso o incluso permitirme entrevistarte gracias por tu tiempo si tienes algo más que pueda ayudarme. Realmente lo agradecería. de nuevo",bonjour je m'appelle nom et je suis étudiant à l'emplacement ici à l'emplacement je rédige un rapport de recherche sur la mort subite du nourrisson et j'espérais que vous pourriez m'aider avec certaines informations j'étais particulièrement intéressé à savoir si les parents devraient s'inquiéter de la mort subite du nourrisson et si vous pouviez m'orienter vers des ressources à ce sujet ou même me permettre de vous interviewer merci pour votre temps si vous avez autre chose qui pourrait m'aider je l'apprécierais vraiment vous pouvez m'envoyer un e-mail à contact ou me contacter par mon téléphone à contact merci encore,你好，我叫 name，我是 location 的一名学生，我正在撰写一份关于婴儿猝死综合征的研究报告，我希望你能帮我提供一些信息，我特别感兴趣的是了解父母是否应该担心婴儿猝死综合征，如果你能给我提供一些这方面的资源，或者允许我采访你，谢谢你的时间，如果你还有什么可以帮助我的东西，我将不胜感激，你可以给我发电子邮件 contact 或通过我的电话 contact 联系我，再次感谢,ciao mi chiamo name e sono uno studente qui in location sto scrivendo un rapporto di ricerca sulla SIDS e speravo che potessi aiutarmi con qualche informazione ero particolarmente interessato a sapere se i genitori dovrebbero preoccuparsi della morte in culla e se potessi indicarmi alcune risorse su questo o anche permettermi di intervistarti grazie per il tuo tempo se hai qualcos'altro che potrebbe aiutarmi te ne sarei davvero grato puoi inviarmi un'e-mail a contact o contattarmi al mio numero di telefono a contact grazie ancora,"hallo, mein Name ist Name und ich bin Studentin an der Location hier an der Location. Ich schreibe einen Forschungsbericht über plötzlichen Kindstod und ich hoffe, Sie könnten mir mit einigen Informationen helfen. Ich war besonders daran interessiert zu erfahren, ob Eltern sich wegen des plötzlichen Kindstods Sorgen machen sollten und ob Sie mir einige Quellen dazu nennen oder mir sogar erlauben könnten, Sie zu interviewen. Vielen Dank für Ihre Zeit. Wenn Sie sonst noch etwas haben, das mir helfen könnte, wäre ich Ihnen sehr dankbar. Sie können mir eine E-Mail an contact senden oder mich telefonisch unter contact erreichen. Nochmals vielen Dank."
17,"Me han diagnosticado SCA3 y me preguntaba si MedlinePlus puede ayudarme con los recursos que pueda necesitar en mi camino a través de esta enfermedad. Si no, ¿pueden ayudarme a encontrar una organización o asociación que pueda ayudarme?","on m'a diagnostiqué un SCA3. Je me demandais si MedlinePlus pouvait m'aider avec les ressources dont je pourrais avoir besoin au cours de mon parcours à travers cette maladie. Sinon, pouvez-vous m'aider à trouver une organisation ou une association qui peut m'aider ?",我被诊断出患有 sca3，我想知道 medlineplus 是否能够帮助我提供我在治疗这种疾病过程中可能需要的资源，如果不能，你能帮我找到一个可以帮助我的组织或协会吗,"mi è stata diagnosticata la SCA3 e mi chiedevo se medlineplus può aiutarmi con le risorse di cui potrei aver bisogno nel mio percorso attraverso questa malattia, in caso contrario, potete aiutarmi a trovare un'organizzazione o un'associazione che possa aiutarmi?","bei mir wurde SCA3 diagnostiziert und ich frage mich, ob MedlinePlus mir mit Ressourcen helfen kann, die ich auf meinem Weg durch diese Krankheit benötigen könnte. Wenn nicht, können Sie mir helfen, eine Organisation oder einen Verein zu finden, der mir helfen kann?"
18,Llamo porque me gustaría recibir más consejos sobre cómo preparar medicamentos con risperidona y adquirir experiencia sobre el medicamento y su creación.,j'appelle parce que j'aimerais avoir plus de conseils sur la création de médicaments à base de risperdoïne et acquérir de l'expérience sur le médicament et la création du médicament,我打电话是因为我想了解更多关于制作利培酮药物的建议，并获得药物和制造药物的经验,sto chiamando perché vorrei avere più consigli sulla creazione del farmaco risperdoine e acquisire esperienze sul farmaco e sulla sua creazione,"ich rufe an, weil ich gerne mehr Ratschläge zur Herstellung von Risperdoin-Medikamenten erhalten und Erfahrungen mit dem Medikament und der Herstellung des Medikaments sammeln möchte"
19,Mi recto está estirado y necesito que me envíen información por correo sobre las opciones quirúrgicas. Mi dirección es location,mon rectum est étiré et j'ai besoin d'informations par courrier sur les options chirurgicales. Mon adresse est l'adresse,我的直肠被拉长了，我需要邮寄有关手术选择的信息，我的地址是位置,il mio retto è disteso e ho bisogno che mi vengano inviate per posta informazioni sulle opzioni chirurgiche il mio indirizzo è la posizione,mein Rektum ist gedehnt und ich brauche Informationen zu chirurgischen Möglichkeiten per Post meine Adresse ist Standort
20,"Exámenes prenatales para el síndrome de Leigh. Estoy buscando información sobre cómo realizar exámenes prenatales, angioplastia o muestreo de vellosidades coriónicas para NARP y síndrome de Leigh. Gracias de antemano.",examens prénataux pour le syndrome de Leigh je recherche des informations sur les examens prénataux anmnio ou prélèvement de villosités choriales pour le syndrome de narp et de Leigh merci d'avance,利氏综合征的产前检查 我正在寻找有关进行羊膜或绒毛取样检查以检测胎儿发育不良 (narp) 和利氏综合征的信息 提前谢谢您,esami prenatali per la sindrome di leigh sto cercando informazioni su come fare esami prenatali amnio o villocentesi per narp e sindrome di leigh grazie in anticipo,"pränatale Untersuchungen für das Leigh-Syndrom Ich suche nach Informationen über pränatale Untersuchungen, Anmnio oder Chorionzottenbiopsie für Narp und das Leigh-Syndrom. Vielen Dank im Voraus."
21,"Hola, tengo un diagnóstico mixto de enfermedad autoinmune del tejido conectivo y me gustaría presentar información sobre esta enfermedad, también necesito un reumatólogo grave recomendado en Argentina o América Latina de ya muchas gracias.","Bonjour, j'ai un diagnostic mixte de maladie auto-immune du tissu conjonctif et j'aimerais soumettre des informations sur cette maladie. J'ai également besoin d'un rhumatologue sérieux recommandé en Argentine ou en Amérique latine. Merci beaucoup.",你好，我被诊断患有自身免疫性结缔组织病，想提交有关这种疾病的信息，我还需要一些阿根廷或拉丁美洲的风湿病专家的推荐，非常感谢,ciao ho una diagnosi mista di malattia autoimmune del tessuto connettivo e vorrei inviare informazioni su questa malattia ho anche bisogno di qualche reumatologo serio raccomandato in Argentina o America Latina da già grazie mille,"hallo, ich habe eine gemischte Diagnose einer Autoimmun-Bindegewebserkrankung und möchte Informationen über diese Krankheit einreichen. Ich brauche auch einige seriöse Rheumatologen, die in Argentinien oder Lateinamerika empfohlen werden. Vielen Dank."
