,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
56,i have been searching for detailed information of what someone with g,I have been suffering from lichen planus for four years,nan,nan,nan,nan
57,No asnwer not supposed to eat at nite when,My wife has systemic lupus and is already taking 20,nan,nan,nan,nan
58,i am searching for information on the causes of insulindependent,I am looking for information about the causes of insulin dependent diabetes,I am looking for information on the causes of insulin dependent diabetes,What are the causes of insulin-dependent diabetes in children?,I am looking for information about the causes of insulin-dependent,What are the causes of insulin-dependent diabetes in children?
59, tailbone trauma aftercare i read the article but what if,My father is 85 and has severe hearing loss. He has,nan,nan,nan,nan
60,i m suffering from similar or same deceasemy mothers father,"""I am the spitting image of Dr. Evil and I",nan,nan,nan,nan
61,My son is 24 years old. We cannot find any drugs,My son is 24 years old. We cannot find any medicines,There is currently one person with Wilson's disease in the area,There is one person with wilson's disease locally who is,"My son is 24 years old, we can’t","My son is 24 years old, we can't find any"
62,My brother is 58 years old have spinal cord problem his both,My brother is 58 years old and has a spinal cord problem,My brother is 58 years old he has spinal cord problems both,nan,My brother is 58 years old and has a spinal cord problem,nan
63,We found one of woman staying with us she coughing and blood,What can you do if you have no feeling in your feet,nan,nan,nan,nan
64, i need to know for what its happening because i am very,"""I need to know what's going on because I'm",I need to know what's going on because I'm very,I need to know why this is happening because I'm very,I need to know what's going on because I'm so,I need to know what's going on because I'm really
65,i can speak every thing i have mistake some word like r,"""I see black things, what is the reason for this",nan,nan,nan,nan
66,i have cronic pain from severe shinglesthe bl,I have chronic pain due to severe shingles. The,nan,"I have chronic pain from severe shingles, the bl",nan,nan
67,i had a molar removed painful and not healing swab,"""I had a molar removed, it was painful and",I had a painful molar removed and it won't heal,"i had a painful and non healing molar removed, a",I had a molar extracted and it is painful and not,nan
68,i am an african american women who have been diagnose,I am an African American woman who has been diagnosed with se,I am an African American woman diagnosed with seborrhe,African American female diagnosed with seborrheic kerat,I am an African American female who has been diagnosed with se,I am an African American woman who has been diagnosed with se
69,My ear has been sounding for along time it started 20years,What should I do if I have a cold sore and what,nan,nan,nan,nan
70,Sore and swollen from auto accident was wearing seat belt was,Sore and swollen from car accident was wearing seat belt was,i was wearing seat belt. any suggestions for this painful and,"After a car accident, I was wearing a seat belt.","Any suggestions for this discomfort, pain and swelling from a car",Sore and swollen from car accident was wearing seat belt was
71, retinitis pigmentosa rp stem cells gene therapy.,Retinitis Pigmentosa RP Stem Cell Gene Therapy, retinitis pigmentosa rp stem cells gene therapy.,Stem Cell Gene Therapy Retinitis Pigmentosa RP,nan,nan
72,Pulmonary tuberchlosis is in 2nd stage,If you are exposed to carbon monoxide and the source of,nan,nan,nan,nan
73,i had psoriasis on my scalp for nearly 10 years,"""I feel weak in my body especially in the morning,""",nan,nan,nan,nan
74,A female aged patient of 65 years old is suffring in,My 3 year old son found my bleach in the laundry and,nan,nan,nan,nan
75,Although my anus is outside and not going in so kindly requesting,"i have read about TMS therapy, do you know anything",nan,nan,nan,nan
76, dear sirmadam im name from location im 35 years,I have not been able to see since I was 8 years, dear sirmadam my name is where am i from,I have lost my vision since I was 8 years old.,"I lost my vision since I was 8 years old, now",I lost my vision since I was 8 years old. Now
77,i am writing this email for my loving father he lost his,My father has lost his left arm muscle due to nerve damage,My father lost his left arm muscle due to nerve damage.,nan,"""I am writing this email for my dear father, he",My father lost his left arm muscle due to nerve damage.
78,. can drug remove growth on the neck and in how,Can medications remove growths on the neck and in how many,Can the drug remove growth on neck and in how many months,nan,nan,Can a medicine remove the growth on the neck and in how
79,About 9 years ago i was poisoned and i didnt know what,About 9 years ago I was poisoned and I didn't know,About 9 years ago i was poisoned and i didnt know what,"""I was poisoned and I didn't know what I was","I was poisoned about 9 years ago, I had no idea","""I was poisoned about 9 years ago and I didn't"
80,i am a 51 year old male and i have enlarged breast,I am a 51 year old man and I have enlarged breasts,nan,I am a 51 year old male and I have enlarged chest,nan,I am a 51 year old male and I have enlarged breasts
81, is abscess in lungs curable my dad has surgery and,My father had surgery and two abscesses were found in,My father had surgery and found 2 abscesses in his,My father had surgery and found 2 abscesses in his,Can lung abscesses be cured? My dad had surgery,My father is going for surgery and found 2 abscesses
82,i am 43 years male manmy hdl reports shows 29,"i am 43 years male, my HDL reports show 29,",nan,"I am a 43 year old male, my HDL reports show",nan,I am 43 years old male manmy HDL reports show 29
83,i have been suffering from loose of appetite for some times now,I have been suffering from loss of appetite for some time.,i am suffering from lack of appetite for some time now.,i have been suffering from loss of appetite for some time now,"I have had a loss of appetite for a while, I","I need help, I have been suffering from loose appetite for"
84,i have been suffering from lichen planus since last four,I have been suffering from lichen planus for four years,I have been suffering from lichen planus for four years,i am suffering from lichen planus for four years.,I have been suffering from lichen planus for the past,nan
85,i have muscle soreness in my legs i would associate with,. about Glucosamine sulfate. Will Gl,nan,nan,nan,nan
86,i have adema in my anklesshins what can,Is there a higher rate of cancer in patients who have taken,nan,nan,nan,nan
87,My wife has systemic lupus and is already taking potassium,My wife has systemic lupus and is already taking 20,My wife has systemic lupus and is already taking potassium,nan,nan,nan
88,i have stone in my ureter so can i eat,"I have a stone in my ureter, so can","i have a stone in my ureter, so can","I have a stone in my ureter, can I",nan,nan
89,There is a huge site of pain in my ball and socket,What is the best way to treat a 7-year-,nan,nan,nan,nan
90,My face is itiching too much and iam using,I am looking for a natural remedy for Dupuytren,nan,nan,nan,nan
91,My fathers 85 and has severe hearing loss he has tried hearing,My father is 85 and has severe hearing loss. He has,My father is 85 years old and has severe hearing loss.,My father is 85 years old and has severe hearing loss.,My father is 85 and has severe hearing loss. He has,My parents general information 85 and he has severe hearing loss.
92,i need my hair back as im the spitting double of dr,"""I am the spitting image of Dr. Evil and I","""I am a spitting image of Dr. Evil with no","""I need my hair back because I'm the spitting image","""I need my hair to grow back because I have no",I need to grow my hair back because I am Dr.
93,Can you tell me how much radiation method work and where is,"How long do I have to take the medication, what is",How long should i take the drug? what is the success,How long do i have to take the medicine what is the,How long will I have to take the medication? What is,nan
94,There was a medicine for friedreichs ataxia,Two people aged 22 and 24 are suffering from Friedreich,i am a patient suffering from friedreich's atax,nan,I am a patient suffering from Friedreich’s,I am a patient suffering from Friedreich's atax
95, to anyone what can one do if they have no feeling in,What can you do if you have no feeling in your feet,What can anyone do if they have no feeling in their feet,"""What can you do if you have no feeling in your","For anyone who has no feeling in their feet, what should",What can you do if you have no feeling in your feet
96,i am suffering from the above for a year now please help,It would be no more than 1 or 2 glasses a week,nan,nan,nan,nan
97,Fibrodysplasia ossificans progressiva,Fibrodysplasia ossificans progressiva,Fibrodysplasia ossificans progressiva,Fibrodysplasia ossificans progressiva,Fibrodysplasia ossificans progressiva,Fibrodysplasia Ossificans Progressiva is
98,i do see black things in my. eye i do see,"""I see black things, what is the reason for this","""I see black things what causes it or like sand in","""I like sand in my eyes how can i get treatment","I do see black stuff in my eyes, what is the","""I see black things, what is it or like a"
99,Some time my penis erect and some time it does not work,My sister has high levels of vitamin D in her system.,nan,nan,nan,nan
100,i have errection problemiam 52 years old i get er,"We have 14 siblings in our family, at least 10 of",nan,nan,nan,nan
101,My name is name from morocco i am 27 years,I am 27 years old and I have Duchenne muscular,My name is Moroccan I am 27 years old I have muscular,nan,Moroccan man has Duchenne Muscular Dystro,"Name is from Morocco and suffers from muscular dystrophy,"
102,Sirmadam can not put his feet properly for walking,I have been bleeding since 2010 and since 2014 I have severe,nan,nan,nan,nan
103,My daughter is 12 years old and her height is 105 cm,"My daughter is 12 years old, 105 cm tall and weighs","My daughter is 12 years old, she is 105 cm tall",My daughter is 12 years old and her height is 105 cm,My daughter is 12 years old and is 105cm tall and,My daughter is 12 years old and her height is 105 cm
104,i am desperate looking for a strong medicine that can help mom,My 75 year old mother is suffering from cryptococcal men,My mother is 75 years old and suffers from cryptococcal,My mother suffers from cryptococcal meningitis. She,My mom is 75 and has cryptococcal meningitis,My 75 year old mother suffering from cryptococcal mening
105,i vomit and blood came in cough with vomit what to do,A student at Carver Military Academy is doing a research project,nan,nan,nan,nan
106,What should i do if i have a cold sore and treatments,What should I do if I have a cold sore and what,What should i do if i have cold sores and what,What should i do if i have a cold sore and what,What should I do if I get a cold sore? The,nan
107,Please can chronic myeloid leukemia cml be cure completely,Can chronic myeloid leukemia (CML) be completely,Chronic myeloid leukemia CML can be cured completely,Can chronic myeloid leukemia CML be completely cured?,Can chronic myeloid leukemia (CML) be completely,Please can chronic myeloid leukemia CML be cured.
108,i have an infection chronic granulomatous mastitis,Can I find a cure for my case in your therapeutic center,Can i find a cure for my case in your treatment center,Can i find cure for my case in your therapeutic center because,I am infected with chronic granulomatous mastitis,Can I find a cure for my case in Therapeutic
109,Once you are exposed to carbon monoxide and the source of,If you are exposed to carbon monoxide and the source of,"If the source of the leak has been found and fixed,","If carbon monoxide leak is resolved and air is clear,",Once you have been exposed to carbon monoxide and the source,Once you are exposed to carbon monoxide and the source of
110,i feel weak on my body aspecially in the morning so,"""I feel weak in my body especially in the morning,""","i have been having pain in my body joints, knees and","""I feel weak in my body especially in the morning so",I feel weak especially in the morning so I want to know,"""I am feeling weak in my body especially in the morning"
111,3-year-old boy found my bleach at the laundry,My 3 year old son found my bleach in the laundry and,My 3 year old found my bleach in the laundry room and,3 year old boy found my bleach in the laundromat,My 3 year old son found my bleach in the laundry room,My 3 year old son found my bleach in the laundry and
112,i read about tms therapy do you know anything about it,"i have read about TMS therapy, do you know anything","I read about TMS therapy, do you know anything about",I have read about TMS therapy. Do you know anything,"I have read about tms therapy, do you know what",nan
113,"""I am im woundering what over the counter medications i",I am wondering what over the counter medications I can take for,nan,I am wondering what over the counter medications I can take for,I would love to know what over the counter medications I can,I am hurting what over the counter medications can i take for
114,How does one deal with anxiety and the looming feeling that i,"I take clonazepam and it helps, but",How do i deal with the anxiety and the looming feeling that,"I take clonazepam which helps, but I",How does one deal with anxiety and the imminent feeling of having,How do you deal with anxiety and the impending feeling that I
115,My sister is 27 year old accouding to doctor she,"""My sister is 27 years old, according to the doctor",nan,"My sister is 27 years old. According to the doctor,","My sister is 27 years old, according to the doctor,","My sister is 27 years old. According to the doctor,"
116,My dad 68 years old has gastritis it did ache,Where can someone get tested to make a diagnosis of Arand,nan,nan,nan,nan
117,One and half year girl found aml cancer with test and,"I'm a Pacu nurse, we often use it for",nan,nan,nan,nan
118,i have drank a lot of alcohol and lots of drugs not,I have been taking methadone for four years and am,nan,nan,nan,nan
119,At first i thought i had add because ive never been,I have been diagnosed with Mucha Haberman and need to,nan,nan,nan,nan
120,i have foot drop symptoms i think radiation cause them last year,"I have foot drop symptoms, I think radiation caused them last","I have symptoms of foot drop, I think it was caused",nan,"I have had numbness, tingling and inflammation in","For the past year my left foot has been numb, t"
121,i am from canada was injured in august at works,I am from Canada and I injured myself at work in August,I am Canadian. I was injured in August at work.,I am from Canada and was injured in August at work.,Im from canada and got injured at work in august,I am from Canada. I was injured in August at the
122,My name is name i started taking tecfedera sometime,"""I started taking Tecfedera as prescribed sometime in","""I started taking tecfedera in april as",Nom started taking Tecfedra in April as prescribed.,The pain i normally experience during an attack has now increased exponentially,I started taking Tecfedera sometime in April as prescribed
123,My daughter said there was a study done and it concluded that,My daughter said there was a study done and it concluded that,My daughter said there was a study that concluded that methad,My daughter said that a study was done and it concluded that,My daughter said there was a study that concluded that methad,nan
124,Is there information available from women who have or are using it,I would like to know how they react to the drug.,I would like to know what their reactions are to the drug,I would like to know what their reactions to the medication are,Is there any information from women who have used or are currently,nan
125,There are serious sideeffects to hydrocortisone and,Hydrocortisone has serious side effects and I have,There are serious side effects of hydrocortisone.,Hydrocortisone has serious side effects and I have,Hydrocortisone has severe side effects and I have,There are serious side effects to hydrocortisone.
126,About glucosamine sulphate. Will it affect kidney will,. about Glucosamine sulfate. Will Gl, Glucosamine Sulfate Information Does glucosamine,Glucosamine sulfate is a compound found in the, glucosamine sulfate affects the kidneys. Does it increase,Will glucosamine sulfate affect the kidneys? will it
127,Is there a greater incidence of cancer rates with patients who have,Is there a higher rate of cancer in patients who have taken,Is there a higher incidence of cancer rates in patients who have,nan,nan,Buproprium wellbutrin has been linked to
128,This pesticide was used to get rid of bed bugs where i,This pesticide was used to get rid of bed bugs. It,This pesticide was used to get rid of bed bugs where i,This pesticide was used to get rid of bed bugs where I,"This insecticide is for bed bugs where I live, it",This pesticide was used to get rid of bed bugs where I
129,i have had many gout attacks since i have been 30,i have had many gout attacks since i was 30 years,"I have had many gout attacks since I was 30,",Before taking allopurinol I never had high blood,"""I have had many gout attacks since I was 30","I have had many gout attacks since I was 30,"
130,What is the best way to naturally treat a 7 yr old,What is the best way to treat a 7-year-,What is the best way to naturally cure a 7 year old,nan,What is the best way to treat ADHD in a 7 year,What is the best way to naturally treat a 7 year old
131,I am looking for a natural remedy for dupuytren,I am looking for a natural remedy for Dupuytren,I'm looking for a natural remedy for dupuytren,nan,I'm looking for natural treatments for Dupuytren's,nan
132,i have celiacdisease andneedto startc,I have celiac disease and have to start taking Coumad,I have celiac disease and I have to start taking Cou,I have celiac disease and need to start taking coumad,I have celiac disease and need to start taking warfar,Celiacdisease and Need to Startcou
133,i am happy to note that all of your medications are gluten, Levothyroxine tablet 0.05 mg is gluten free,"All your medications are gluten free, Levothyroxine 00", Levothyroxine 005 mg tablet is gluten free.,"All of your medications are gluten free, 005 mg lev", Levothyroxine 0.05 mg tablet is gluten free
134,i have gluten allergies and have taken klorcon mfg,I have a gluten allergy and have taken Klorcon from,I have gluten allergies and have taken klorcon made by,Sandoz is a new manufacturer to me and i am wondering,I am allergic to gluten and have taken klorcon from,I have gluten allergies and have taken Klorcon MFG
135,Is there any sufites sulfates sulfa in k,"Are there any sulfates, sulfa in Kapvay",nan, are there sulfites sulfates sulfa in kapv,Does kapvay contain sulfonamide sulfite?,Is there any Sufites sulfa sulfate in k
136,i was prescribed this medication and just wanted to make sure it,Maltodextrin unii 7cvr7l,nan,nan,Maltodextrin unii 7cvr7l,Maltodextrin unii 7cvr7l
137,i would like to know if it would be ok if i,It would be no more than 1 or 2 glasses a week,I would like to know if it would be okay if I,"I would like to know if I could drink red wine,",I would like to know if it is ok for me to,"""I would like to know if it would be okay if"
138,i received the pnuemoccoal polysaccharide,I received the pneumococcal polysaccharide 23 vaccine,I received the pneumococcal polysaccharide 23 vaccine,I received the pneumococcal polysaccharide 23 vaccine,nan,I received the pneumococcal polysaccharide 23 vaccine
139,An explaination of what is the difference between myelogenous,What is the difference between myeloid and lymphocytic,An explanation of what the difference is between the types of my,An explanation of the difference between myeloid and lymphocy,I would like to explain the difference between myeloid leukemia,nan
140,What causes the skin of the entire body to turn red including,What medications should I avoid because I have CMT peripheral neuro,nan,nan,nan,nan
141,My sister has a high level of vitamin d in her system,My sister has high levels of vitamin D in her system.,"My sister has high vitamin D in her system, blood tests",My sister has high vitamin D in her system. Her thyroid,My sister has high vitamin D and blood work showed her specialist,My sister has a high level of vitamin D in her system
142,My sister had hellp during her first pregancey,"""I have lichen planus and I think I'm",nan,nan,nan,nan
143,At least 10 of our family members have had a frozen shoulder,"We have 14 siblings in our family, at least 10 of",At least 10 of our family members have had frozen shoulder.,At least 10 of our family members have had frozen shoulder.,At least 10 siblings in our family have frozen shoulder and we,At least 10 of our 14 siblings have had a frozen shoulder
144,a severe pain as food passes upper part of stomach i feel,I am a man in my mid 60's and was wondering,nan,nan,nan,nan
145,Whenever i eat anything within 1015 minutes i start having slight,Whenever I eat something within 10-15 minutes I get mild,Every time i eat something within 1015 minutes i start getting,Every time i eat something within 10-15 minutes i start,Whenever I eat within 10-15 minutes I start to get,Every time I eat something within 1015 minutes I start getting
146,i ask this as a general question can a pacemaker help,My doctor wrote me a prescription for Lipoderm Patch LS,nan,nan,nan,nan
147,i have been bleeding since 2010 and i have been having sharp,I have been bleeding since 2010 and since 2014 I have severe,i have been bleeding since 2010 and i have been having severe,i have been bleeding since 2010 and i have sharp pain on,I have been bleeding since 2010 and since 2014 I have had,I have been bleeding since 2010 and have had sharp pain in
148,maleweight73kgsbp12080 no tablets used,I need to find support for my daughter who has been ill,nan,nan,nan,nan
149,i have acquired a symptom of extreme internal body shaking sometimes i,The baby has a genetic disorder where the skull is not closed,nan,nan,nan,nan
150,My grand father have examined psa test value is 0430,My grandfather tested PSA value of 0.430 ngml,My grandfather has examined the psa test value which is 04,PSA test value is 0430 ngml his age is,My grandfather checked PSA test value was 0430 ngml,nan
151,She cries in pain and cant sleep at night do to this,She cries in pain and can't sleep at night because of,She cries in pain and can't sleep at night because of,"""She cries in pain and can't sleep at night because","""She cries because of the pain and can't sleep at","""She cries in pain and can't sleep at night because"
152,"""I would like to ask someone from your organization a few",A student at Carver Military Academy is doing a research project,A student at Carver Military Academy is doing a research project,A student at Carver Military Academy is doing a research project,A Chicago teen writes to her school asking about teenage pregnancy.,A student at Carver Military Academy is doing a research project
153, i have had shingles on my face about 6 or,I had shingles on my face about 6 or 7,I had shingles on my face about 6 or 7,I had shingles on my face about 6 or 7,I had shingles on my face about 6 or 7,I had shingles on my face about 6 or 7
154,There is some discrepancy between the kaiser box label your own,"There is some discrepancy between the Kaiser box label, your own",There is some discrepancy between the kaiser box label your instructions,There is some discrepancy between the Kaiser box label and your own,There are some discrepancies between the instructions on the kaiser box,"QVAR should be shaken or not before each use,"
155,My wife is severely allergic to titanium dioxide. It is not,My wife is severely allergic to titanium dioxide. It is not,My wife is severely allergic to titanium dioxide. It is not,nan,"My wife is allergic to titanium dioxide, and there is no",nan
156,My son had recurrent pancreatitis and finally passed away at 22,My son suffered from recurrent pancreatitis and eventually died of pancreat,"My son, with AS, had recurrent pancreatitis and eventually",My son suffered from recurrent pancreatitis and eventually died at age,My son had recurrent pancreatitis and eventually died of pancreatitis,My son had recurrent pancreatitis and eventually died at age 22
157,24yearold male wilsons illness severe stem cell therapy,"My daughter, born 5 days ago, has been strangely diagnosed",nan,nan,nan,nan
