,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
26,i would like to interview someone by email in order to obtain information,I would like to interview someone via email to get information about generalized,I would like to interview someone via email to get information about generalized,I would like to interview someone via email to get information on generalized,I would like to interview someone via email in order to get information about,I would like to interview someone via email to gain insight into generalized
27,folgard os i am in usa but that,Folgard OS was not listed as a country selection .,folgard os I am in the u.s,folgard os was not listed as a country choice,folgard os is not listed as a country choice,I need information about Folgard OS I am in the US but that
28,im a 40 yr old woman that has infantile reproductive,nan,nan,nan,nan,nan
29,sir 1 i wish to know if severe constipation,nan,nan,nan,nan,nan
30,is balsalazide a steroid i,I have been taking balsalazide for almost 2 years,balsalazide 750mg each x9,balsalazide 750mg each x 9,balsalazide has been taking it for almost 2 years,balsalazide has been on it for almost 2 years
31,autonomic disorders combined with arthritis my girlfriend has arthritis and autonom,"autonomic dysfunction affects her heart, lungs and blood pressure","autonomic disorders combined with arthritis affects her heart, lungs",my girlfriend has arthritis and autonomic disorders associated with arthritis .,nan,nan
32,i have a steel plate in my ankle from a severely,I have a steel plate in my ankle from a bad leg,a steel plate in my ankle due to a severe leg fracture,a steel plate in my ankle from a badly broken leg has,"the plate can be removed in a year, which is not long",nan
33,a 9 year old boy has been diagnosed with 16p1311,16p1311 Gene Duplication - a 9 year old,a 9 year old boy has been diagnosed with 16p1311,a 9 year old boy was diagnosed with 16p1311 gene,a 9-year-old boy was diagnosed with the 16p,a 9 year old boy on my case list has been diagnosed with
34,how long is gabapentin good at room temperature thank you,how long does Gabapentin last at room temperature? Thanks,how long is gabapentin effective at room temperature thanks name,nan,gabapentin keeps at room temperature thanks name PA,nan
35,hi i have an unopened prescription of atorvastatin,the shelf life in an unopened container has been stored at room temperature,nan,"unopened container has been stored at room temperature, about 60 degrees ",prescription for atorvastatin is unopened and kept at room,unopened prescription for Atorvastatin has been stored at room
36,what are some illnesses caused by smoking also what are their effect on the,what diseases are caused by smoking and what effects do they have on the,what are some diseases caused by smoking and what are their effects on the,what are the diseases caused by smoking and what are their effects on the,what diseases can smoking cause? what effects does smoking have on the human,what are some diseases caused by smoking also what are its effects on the
37,hi frst of all thanks for valuable information whch you published,if you had measles when your son was a,nan,if you had measles you had a possibility of,if you get measles you have a chance of,if you had measles you have a chance of
38,interested in research regarding arimidex and the pros and cons of,i am interested in the research on Arimidex and the pros,arimidex research is interested in the pros and cons of taking,arimidex has been taking anastrozole for a,nan,i am interested in the research on Arimidex and the pros
39,i have had epilepsy for 26 years and my seizures have,my seizures have tripled in these 2 weeks compared to the years,I have had epilepsy for 26 years and my seizures have never,nan,I have had epilepsy for 26 years and my seizures have never,nan
40,i just need a clarity on acl repair date,nan,nan,nan,nan,nan
41,i was diagnosed with tos in my left shoulder was told surgery,"I was diagnosed with TOS in my left shoulder, was told surgery",i was diagnosed with tos in my left shoulder and was told,"physiotherapy did not help, tired of the numbness","the doctor told me surgery would relieve my problem, physical therapy didn'",I was diagnosed with TOS in my left shoulder was told surgery would
42,hi this is name suppose we removed the eye duct due to tear,nan,nan,nan,nan,nan
43,my 16 month old son has this does not sit up our crawl yet,nan,nan,nan,nan,nan
44,i overdosed on benadryl in march but,sometime in march I overdosed on Benadryl ,"in march i overdosed on benadryl,",in march i overdosed on benadryl ,I overdosed on Benadryl sometime in march and had,"sometime during march I overdosed on Benadryl,"
45,one of my family members has a serious health issue in which his,nan,nan,nan,nan,nan
46,my mother is 96 years old and generally in good health .,my mother is 96 years old and in generally good health .,my mother is 96 years old and generally in good health .,my mother is 96 and generally healthy . I keep her on,my mom is 96 and has always been in good health .,my mother is 96 years old and is generally in good health 
47,if periodontitis is left untreated for approx 7,if periodontitis is left untreated for about 7 months,if periodontitis is left untreated for about 7 months,periodontitis has 59mm periodontal pockets and 20,"if periodontitis is not treated for 7 months, will",if periodontitis is left untreated for about 7 months
48,i am type 1 diabetic and my doctor said my case is,my endocrinologist said my case is unique . ,i am type 1 diabetic and my doctor said my case is,my doctor told me that my case was unique . he suggested,endocrinologist says I should get testing or new research for,my endocrinologist said I should look into testing or further
49,my partner got pregnant i have vasectomy 16 years .,nan,nan,nan,nan,nan
50,customer service request my daughter has turner syndrome but shes beaten,my daughter has Turner syndrome but she has exceeded all expectations . she,nan,nan,customer service request My daughter has Turner Syndrome but she beat all the odds,customer service request my daughter has turner syndrome but she has beaten
51,lipoamide dehydrogenase deficiency causes,genetic abnormality causes lipoamide dehydrogenase de,lipoamide dehydrogenase e3 defic,nan,nan,lipoamide dehydrogenase e3 defic
52,multiple orgasms if i get a ve,"if I get a vasectomy, will I still be",i know it is not normal for a man to have multiple,i know it's not even common to have multiple orgas,"multiple orgasms If I had a vasectomy,",nan
53,how long do radiation treatments actively treat the area where it was delivered would,nan,nan,nan,nan,nan
54,clinicaltrialsgov question general information my name is locationmy 10,clinicaltrialsgov Question General Information My name is Site My 10,clinicaltrialsgov general information question my name is place name my,Question on ClinicalTrialsgov General Information My name is Name from Location,clinicaltrialsgov Questions General Information My name is from the place,Question from Clinicaltrials.gov General Information My name is Location
55,bcg and stage 3 urinary bladder cancer my dad begins,father is starting treatment in a few weeks for stage 3 bladder cancer,bcg and stage 3 urinary bladder cancer my father will,bcg and stage 3 bladder cancer my father is starting this,my dad is starting bcg treatment in a few weeks,nan
56,g6pd i have been searching for detailed information of,nan,nan,nan,nan,nan
57,asked if med label says take with food how much food is,nan,nan,nan,nan,nan
58,hi what are the causes of insulindependent diabetes in children i am,I am looking for information about the causes of insulin dependent diabetes in children,what are the causes of insulin dependent diabetes in children? please help me,what are the causes of insulin-dependent diabetes in children?,what are the causes of insulin-dependent diabetes in children? please help,what are the causes of insulin-dependent diabetes in children?
59,tailbone trauma aftercare i read the article but what if,nan,nan,nan,nan,nan
60,i m suffering from similar or same deceasemy mothers,nan,nan,nan,nan,nan
61,phi person with wilsons disease in location is my son,we cannot find any medicines and treatments and hospitals to fight Wilson's,there is currently one person with Wilson's disease in the area ,we can't find any medicine treatment or hospital to fight w,"if possible, we hope to be able to get good medicine","my son is 24 years old, we can't find any drug"
62,my brother is 58 years old have spinal cord problem his both legs,my brother is 58 years old and has a spinal cord problem,spinal cord my brother is 58 years old he has spinal cord,nan,my brother is 58 years old and has a spinal cord problem,nan
63,repot was progressive diseaseactive lung tbinthe right ,nan,nan,nan,nan,nan
64,i need to know for what its happening because i am very,I need to know what's going on because I'm very,I need to know what's going on because I'm very,I need to know why this is happening because I'm very afraid,I need to know what's going on because I'm so,I need to know what's going on because I'm really
65,i can speak every thing i have mistake some word like ,nan,nan,nan,nan,nan
66,i have cronic pain from severe shinglesthe blisters are,the blisters are gone but the pain is severe .,nan,"chronic pain from severe shingles, the blisters have gone but the",nan,nan
67,serratia marcescens oral surgeon ordered levaquin,a swab in the extraction hole showed that I,serratia marcescens the oral surgeon ordered levaqui,"serratia marcescens, the oral surgeon prescribed leva","levofloxacin, scared, went to a new",nan
68,african american women diagnosed with seborrheic kera,african-american woman diagnosed with seborrheic ,african-american woman diagnosed with seborrheic ,african american woman diagnosed with seborrheic kera,african american woman diagnosed with seborrheic kera,african-american woman diagnosed with seborrheic 
69,sounding in my ear every time for along time it started 20,nan,nan,nan,nan,nan
70,any suggestions for this discomfort sore and swollen from auto,any suggestions for these complaints sore and swollen from car,i was wearing seat belt . any suggestions for this painful and,I was wearing a seat belt after a car accident .,"any suggestions for this discomfort, pain and swelling from a car accident",any suggestions for this discomfort sore and swollen from car
71,retinitis pigmentosa rp stem cells,I was diagnosed with Retinitis Pigmentosa,retinitis pigmentosa rp stem cells,I was diagnosed with Retinitis Pigmentosa,nan,nan
72,sirmadam i take treatment of pulmonary tuberch,nan,nan,nan,nan,nan
73,i had psoriasis on my scalp for,nan,nan,nan,nan,nan
74,medlineplus i am a pharmacist by profession .,nan,nan,nan,nan,nan
75,dear all last week i did operation of hammorho,nan,nan,nan,nan,nan
76,sirmadam im name from location im 35 years old i,I have optic nerve atrophy in my eye and have only one eye,sirmadam my name is where am i from i,"my name is from where I am, I am 35 years old ","I lost my vision since I was 8 years old, now I only","location, 35, has optic nerve atrophy in my eye ."
77,i am name from location first of all thank you very much for,he has lost his left arm muscle due to nerve damage .,he lost his left arm muscle due to nerve damage . ,nan,"he lost the left arm muscle due to nerve damage, but can",he lost his left arm muscle due to nerve damage but can access
78,can remove growth on the neck and in how many months . can,can medications remove growths on the neck and in how many months,can the drug remove growth on neck and in how many monthsPA,nan,nan,can a medicine remove the growth on the neck and in how many
79,i was poisoned and i didnt know what it,about 9 years ago I was poisoned and I didn't,hi about 9 years ago i was poisoned and i,about 9 years ago I was poisoned and I didn't,"I was poisoned about 9 years ago, I had no idea",I was poisoned about 9 years ago and didn't know
80,i am a 51 year old male and i have ,my mother told me I have a bird chest . my size,nan,my size is a 36 B. I have to wear shirts,nan,my mother told me I have a bird chest . my size
81,my dad found 2 abscess in his lungs curable,my father had surgery and two abscesses were found in his,my father had surgery and found 2 abscesses in his ,my father had surgery and found 2 abscesses in his ,my dad had surgery and found two abscesses in his ,it is a abscess in lungs curable my
82,manmy hdl reports shows 29 i need your further,"i am 43 years male, my HDL reports show 29 ",nan,"I am a 43 year old male, my HDL reports show",nan,i am 43 years old male manmy HDL reports show 29
83,i need help i have been suffering from loose of appetite for,"if there is any medicine that can cure me, please let me",i need help i am suffering from lack of appetite for some,"i need help, i have been suffering from loss of appetite",if there is a medicine that can cure me please let me,"I need help, I have been suffering from loose appetite for some times"
84,i have been suffering from lichen planus since last four years,dermatologist gave me an ointment to apply on the,I have been suffering from lichen planus for four years sometimes the,i am suffering from lichen planus for four years .,lichen planus suffers from red marks for the past four years,nan
85,soreness started approximately 6 weeks ago after over using quadsthighs,nan,nan,nan,nan,nan
86,i take bp meds w diaretic,nan,nan,nan,nan,nan
87,my wife has systemic lupus and is already taking potassium,my wife has systemic lupus and is taking 20 mg,my wife has systemic lupus and is already taking potassium,nan,nan,nan
88,i have stone in my ureter so can i ,"stone in my ureter, so can I eat and what","i have a stone in my ureter, so can",can I eat lamb and what should I do to eliminate the stone,nan,nan
89,i would like to state that there is a pain in my,nan,nan,nan,nan,nan
90,my face is itiching too much and iam using de,nan,nan,nan,nan,nan
91,clinicaltrialsgov question general information my fathers 85 and has,clinicaltrialsgov Question General Information My father is 85 and has,clinicaltrialsgov general question my father is 85 years old and,the hearing aids seem to cause him a lot of pain ,clinicaltrialsgov Question General Information My father is 85 and has,clinicalTrialSgov Question My parents general information 85 And he
92,can you provide something to help grow my hair back i need my,can you give me something to help me grow my hair back? I,can you give me something to help me grow my hair back? I,can you provide me with something to help me grow my hair back?,can you provide something to help my hair grow back? I need my,can you provide me with something to help me grow my hair back?
93,how long would i take the medication what is the success rate of,can you tell me how well the radiation method works and where the treatment,how long should i take the drug? what is the success rate,how long do i have to take the medicine what is the success,how long will I have to take the medication? what is the success,nan
94,sir madam is a patient suffering from friedreichs,can you please help us with this since we are looking for the medicine,sir and madam is a patient suffering from friedreich,nan,"there are two people suffering from this disease, the age is 22 and",there are two people aged 22 and 24 respectively suffering from this ataxi
95,anyone what can one do if they have no feeling in there feet,"if you have no feeling in your feet, namePAD",what can anyone do if they have no feeling in their feet name,what can you do if you have no feeling in your feet name,"if you have no feeling in your feet, what should you do",what can you do if you have no feeling in your feet Name
96,sir help me overcome incessant flatulence i am,nan,nan,nan,nan,nan
97,fibrodysplasia ossificans progressiva,fibrodysplasia ossificans,fibrodysplasia ossificans progressiva,fibrodysplasia ossificans progressiva,Fibrodysplasia ossificans,Fibrodysplasia Ossificans Progress
98,eye i do see black things what couse it or lik,"eye, I see black things, what is the reason for this or",eye i see black things what causes it or like sand,i see black things what is the cause or i like ,"black stuff in my eyes, what is the reason, or it is","eye, what is it or like a sand, my"
99,solve the erectio problem sir some time my pen,nan,nan,nan,nan,nan
100,errection problemiam 52 years old . er,nan,nan,nan,nan,nan
101,morocco i am 27 years old i have muscular dys,"my name is a Moroccan name, I am 27 years old and",my name is Moroccan I am 27 years old I have muscular dyst,nan,"is there any effective treatment for this disease? my name is Moroccan,","my name is Name, I am from Morocco, 27 years old and"
102,sirmadam i read details of my problem from internet ,nan,nan,nan,nan,nan
103,my daughter is 12 and her height is 105 cm and weight is,"my daughter is 12 years old, 105 cm tall and weighs","my daughter is 12 years old, she is 105 cm tall and",my daughter is 12 and her height is 105 cm and her weight,daughter is 105cm tall and weighs 15kg .,my daughter is 12 and her height is 105 cm and weight is
104,my mom 75 is suffering from cryptococcal menimgt,my 75 year old mother is suffering from cryptococcal mening,my mother is 75 years old and suffers from cryptococcal,my mother is 75 years old and suffers from cryptococcal,my mom is 75 and has cryptococcal meningitis,my 75 year old mother is suffering from cryptococcal mening
105,vor some time i vomit and blood came in cough with vom,nan,nan,nan,nan,nan
106,what should i do if i have a cold so,what should I do if I have a cold sore and,what should i do if i have cold sores,what should i do if i have a cold so,what should I do if I get a cold sore?,nan
107,please can chronic myeloid leukemia cml be cure completely,chronic myeloid leukemia (CML) can be completely,chronic myeloid leukemia CML can be cured completely,chronic myeloid leukemia CML can be completely cured,chronic myeloid leukemia (CML) can be completely,chronic myeloid leukemia CML can be cured 
108,may i find a cure for my case in therapeutic your center,can I find a cure for my case in your therapeutic center that,can i find a cure for my case in your treatment center,can i find cure for my case in your therapeutic center because ,can I find treatment for my condition in your treatment center? I am,can I find a cure for my case in Therapeutic of your center
109,the source of carbon monoxide leak is found and resolved .,the source is the furnace and has been turned off by the gas company,the source of carbon monoxide leak has been found and fixed ,the source of the leak is the furnace and shut off by the gas,the leak was the furnace and was shut off by the gas company ,the source of the leak is oven and the air is clear .
110,dear sir i feel weak on my body aspecially,"this has been in the body joints, knees and arms for ",sir i feel weak in my body especially in the morning so,dear sir i feel weak in my body especially in the morning,this has been present long time ago in body joints knees and arms,I am feeling weak in my body especially in the morning so I want
111,my 3yrs old boy found my bleach at the laundry ,my 3 year old son found my bleach in the laundry . ,my 3 year old found my bleach in the laundry room . ,my 3 year old boy found my bleach in the laundromat,my 3 year old son found my bleach in the laundry room .,my son found my bleach in the laundry and he swallowed
112,acupuncture can help for mood disorders is that true for mixed bi,"acupuncture can help with mood disorders, is that also true for",acupuncture can help with mood disorders and generalized anxiety disorders ,acupuncture can help with mood disorders . I have read about,acupuncture can help with mood disorders and generalized anxiety disorder ,nan
113,im woundering what over the counter medications i can take for,I am wondering what over the counter medications I can take for an ,nan,I am wondering what over the counter medications I can take for autoimmune,I would love to know what over the counter medications I can take for,i am hurting what over the counter medications can i take
114,i am taking clonazepam which helps but,how do you deal with anxiety and the impending feeling that I',i am taking clonazepam which helps but,how do I deal with anxiety and the impending feeling that I am,I am taking Clonazepam which helps but would rather,a heart attack is about to hit me and hit me .
115,dear sir my sister is 27 year old accouding,"sir, my sister is 27 years old, according to the doctor",nan,if you have any medicine for anemia please contact me .,"sir, my sister is 27 years old, according to the doctor",my sister is anemic and has suffered from blood loss .
116,gist with about 1cm in size doctor told him ,nan,nan,nan,nan,nan
117,hi one and half year girl found aml cancer with test and she,nan,nan,nan,nan,nan
118,antibiotics have taken 4 different kinds this year alone raspy voice very,nan,nan,nan,nan,nan
119,ive had chronic depression insomnia migraines mistaking stomache problems as,nan,nan,nan,nan,nan
120,my left foot is numb tingling and inflaming,"my left foot is numb, tingling and inflam","my left foot is numb, tingling and inflam",nan,I have foot drop symptoms and I think it is caused by radiation ,"for the past year my left foot has been numb, "
121,clinicaltrialsgov question general information i am from canada was,clinicaltrialsgov Question General Information I am from canada and injured,clinicaltrialsgov general information question I am Canadian I was injured,some neurologists have suggested that I may have complex regional pain syndrome ,clinicaltrialsgov question general information im from canada and got injured,general information Clinical Question General Information I am from Canada I was injured in
122,i started taking tecfedera sometime in april,I started taking Tecfedera as prescribed sometime in April .,i started taking tecfedera in april as,my pain level is at an all time high . nothing I have,i started taking tecfedra in april,my pain level is at its highest . nothing I have taken such
123,my daughter said there was a study done and it concluded that met,my daughter said there was a study done and it concluded that met,my daughter said there was a study that concluded that methadone,my daughter said that a study was done and it concluded that met,my daughter said there was a study that concluded that methadone,nan
124,is there information available from women who have or are using it i,Is there any information from women who have it or use it?,is there any information available from women who have or are using it?,is there any information available from women who have or are using it?,is there any information from women who have used or are currently using this,nan
125,there are serious side effects to hydrocortisone and i,hydrocortisone has serious side effects and I have to take,there are serious side effects of hydrocortisone and i,hydrocortisone has serious side effects and I have to take,hydrocortisone has severe side effects due to panhypo,hydrocortisone has serious side effects and is there more to
126,about glucosamine sulphate will affect kidney will,about Glucosamine sulfate will Glu,glucosamine sulfate information Does it affect,about glucosamine sulfate will affect the,glucosamine sulfate affects the kidney,will glucosamine sulfate affect the kidney
127,can you please tell me the results of any clinical trials investigating a,can you please tell me the results of clinical trials investigating a link,can you please tell me the results of any clinical studies investigating a,nan,nan,can you tell me the results of any clinical trials investigating a correlation
128,pesticide was used to get rid of bed bugs where i live,pesticide was used to get rid of bed bugs . it was,pesticide was used to get rid of bed bugs where i live,pesticide was used to get rid of bed bugs where I live ,"insecticide is for bed bugs where I live, it was s",pesticide was used to get rid of bed bugs where I live 
129,i take allopurinol and blood pressure med,i have had many gout attacks since i was 30,"I have had many gout attacks since I was 30, now I","I have had many gout attacks since I was 30, now 70",allopurinol causes a decrease in acid in the,allopurinol will cause the acid in your system to
130,what is the best way to naturally treat a 7 yr,what is the best way to treat a 7-year-old,what is the best way to naturally cure a 7 year old with,nan,what is the best way to treat ADHD in a 7 year old,what is the best way to naturally treat a 7 year old with
131,dupuytrens contracture im looking for a natural,Dupuytren's Contracture I am looking for ,dupuytren's contracture I'm looking for,nan,Dupuytren's Contracture I'm looking for,nan
132,celiacdisease andneedto startcoumad,I have celiac disease and have to start taking Coumad,I have celiac disease and I have to start taking Cou,I have celiac disease and need to start taking cou,i have celiac disease and need to start taking war,I have Celiacdisease and Need to Startcoumad
133,levothyroxin tab 005 mg is gluten free,levothyroxine tablet 0.05 mg is gluten free ,levothyroxine 005mg tablet is gluten,levothyroxine 005 mg tablet is gluten free,005 mg levothyroxine tablets contain dairy products,levothyroxine 0.05 mg tablet is gluten free 
134,klorcon m20 tabs 20meq contains gluten,I have a gluten allergy and have taken Klorcon from another,"klorcon m20 20meq tablets contain gluten,",i have gluten allergies and have taken klorcon made by,klorcon m20 tabs 20meq contains gluten,I have gluten allergies and have taken Klorcon MFG from another
135,sufites sulfa in kapvay are,is there any sulfates that I am allergic to,nan,kapvay sulfites sulphates ,does kapvay contain sulfonamide s,is there any Sufites sulfate in kap
136,maltodextrin unii 7cvr7l4,maltodextrin unii 7cvr7l4,nan,nan,maltodextrin unii 7cvr7l4,maltodextrin unii 7cvr7l4
137,i would like to know if it would be ok ,"it would be no more than 1 or 2 glasses a week,",hi hi I would like to know if it would be okay ,"if I could drink red wine, it would not be more than","hi, I would like to know if it is ok for","drank a little red wine, no more than 1 or"
138,pnuemoccoal polysaccharide,pneumococcal polysaccharide 23 vaccine was,pneumococcal polysaccharide 23 vaccine was,pneumococcal polysaccharide 23 vaccine was,nan,pneumococcal polysaccharide 23 vaccine was
139,myelogenous and lymphocytic leukemia,myeloid lymphocytic leukemia is a,myeloid lymphocytic leukemia is a,the difference between myeloid and lymphocytic leuk,myeloid leukemia and lymphocytic leuk,nan
140,what causes the skin of the entire body to turn red including the ,nan,nan,nan,nan,nan
141,my sister has a high level of vitamin d in her system,thyroid was removed 3 years ago and breast cancer was removed 2 years ago,thyroid removed 3 years ago and breast cancer treated 2 years ago .,her thyroid gland was removed 3 years ago and the breast cancer was removed,sister has high vitamin D and blood work showed her specialist can’t,her specialist can't find the cause in her blood tests .
142,my sister had hellp during her first pregancey .,nan,nan,nan,nan,nan
143,we have 14 siblings in our family at least 10 of us has had,"14 siblings in our family, at least 10 have had frozen shoulder ",at least 10 of us have had frozen shoulder and we wonder why we,"we have 14 siblings in our family, at least 10 of us have",14 siblings in our family and at least 10 have frozen shoulder .,"at least 10 of us have had a frozen shoulder, we wonder"
144,fooda engulfs fooda severe pain as food passes,nan,nan,nan,nan,nan
145,when i eat anything within 1015 minutes i start having,"a 53-year-old african-american woman,",i am a 53 year old african american female 5',"african american female is 5'3"" tall, never had children",Whenever I eat within 10-15 minutes I start to get mild stomach,53 years old 5'7 in tall African American female Never had children
146,i ask this as a general question can a pacemaker,nan,nan,nan,nan,nan
147,i have been having sharp pain on my left stomach since 2010 and,I have been bleeding since 2010 and since 2014 my abdomen is so big,i have been having severe pain on the left side of my stomach,i have been bleeding since 2010 and my left belly is so big,I have been bleeding since 2010 and since 2014 I have had severe pain,I have been bleeding since 2010 and have had sharp pain in my left
148,age 66marriedmaleweight73kgsbp12080,nan,nan,nan,nan,nan
149,i have acquired a symptom of extreme internal body shaking sometimes,nan,nan,nan,nan,nan
150,grand father examined psa test value is 0430 ng,grandfather tested PSA value of 0.430 ngml .,grandfather has examined the psa test value which is 0430,grandfather examined the PSA test value is 0430 ngml,grandfather checked PSA test value was 0430 ngml his,nan
151,she has had it for a whole now maybe a few months,she cries in pain and can't sleep at night because,she cries in pain and can't sleep at night because,she cries in pain and can't sleep at night because,she says the chances of survival after surgery are only 5050 .,she cries in pain and can't sleep at night because
152,i am a student from carver military academy on the far,teen pregnancy can affect our academic performance and goals for the future ,my classmates and I are doing a research project on social issues and,my classmates and I are doing a research project on social issues and,"the trouble that I am facing is teenage pregnancy, since I am ","teen pregnancy can stop our achievements in school, our goals for the"
153,i have had shingles on my face about 6 or 7 years,I had shingles on my face about 6 or 7 years ago ,shingles on my face about 6 or 7 years ago should I still,shingles on my face about 6 or 7 years ago . should,"shingles on my face about 6 or 7 years ago, should I",shingles on my face about 6 or 7 years ago . should
154,the kaiser box label your own instructions and a chart of,Shake Qvar is not clear. thanks for the name .,the kaiser box label your instructions and an inhaler chart,there is some discrepancy between the Kaiser box label and your,"the shaking of the qvar is not, thanks for your name",there is some discrepancy between the Kaiser box and the Kaiser
155,equate or tylenol aceta,titanium dioxide is not listed in the inactive ingredients for Equate or,titanium dioxide is not listed as an inactive ingredient in Equate or,nan,titanium dioxide is not listed in the inactive ingredients on the packaging or,nan
156,have any relationships been found between angelman syndrome and pancreatiti,my son suffered from recurrent pancreatitis and eventually,"my son, with AS, had recurrent pancreatiti",my son suffered from recurrent pancreatitis and eventually,my son had recurrent pancreatitis and eventually died,my son had recurrent pancreatitis and eventually died
157,male wilsons illness severe stem cell therapy can be done please,nan,nan,nan,nan,nan
158,i have peripheral neuropathy but not diabetes i had numerous tests,pregabalin has had numerous tests to determine the cause of the,i have peripheral neuropathy but not diabetes I have done numerous tests,i have peripheral neuropathy but no diabetes . pregabal,i have peripheral neuropathy but do not have diabetes . will,"i have peripheral neuropathy but not diabetes, I have had numerous"
159,sir my wife is 54 years old being diagnosed with als for the,my wife is 54 years old and has been suffering from ALS for,sir my wife is 54 years old and has been diagnosed with ,my wife is 54 years old and she has been diagnosed with ALS,my wife is 54 years old and has been diagnosed with ALS for,my wife is 54 years old and was diagnosed with ALS 2 years
160,the calets are out of datelotf39460 exp ja 2013,nan,nan,nan,nan,nan
161,i was in hospital for pancretitis on the 2nd,I was in the hospital for pancreatitis . on,imitrex tablet worked but they told me that I shouldn't,i was in the hospital for pancreatitis on the,"the next day I was hospitalized for pancreatitis,",imitrex was in the hospital for pancreatitis on
162,honey might be used to treat erythema nodo,nan,nan,nan,nan,nan
